Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,8095,4634,10000
1,386,2810,10000
2,4804,2312,20000
3,139,1564,5000
4,1706,3689,10000
5,3704,4417,10000
6,2574,2289,10000
7,50,1421,5000
8,9505,2439,20000
9,50,1161,10000
10,1814,3283,20000
11,2920,2833,10000
12,221,2740,20000
13,3037,3652,10000
14,7625,2290,20000
15,208,358,20000
16,909,1070,5000
17,1490,1766,15000
18,8755,1342,20000
19,346,3365,0
20,851,2791,5000
21,692,2867,0
22,1127,2881,10000
23,738,3585,15000
24,50,1230,5000
25,50,2056,5000
26,394,1759,5000
27,50,2285,20000
28,5196,5382,20000
29,3577,4235,10000
30,295,2427,5000
31,14255,3371,20000
32,3132,2852,0
33,2730,3136,0
34,2906,3372,5000
35,7248,4885,10000
36,3527,3406,5000
37,5311,3932,0
38,3229,4101,5000
39,2127,3752,0
40,3747,2811,15000
41,50,1739,5000
42,117,1845,10000
43,5754,2867,20000
44,3691,2278,20000
45,771,2059,5000
46,1169,1970,10000
47,808,2389,10000
48,1306,2948,15000
49,5452,5069,10000
50,11099,4389,5000
51,475,1663,20000
52,520,2945,0
53,1480,3464,5000
54,3809,3364,10000
55,4294,2346,20000
56,3385,3060,10000
57,571,1825,5000
58,605,2148,0
59,707,2149,5000
60,3593,5979,5000
61,234,2179,5000
62,1421,3289,20000
63,626,1680,10000
64,849,2420,5000
65,693,1646,10000
66,12272,2780,20000
67,610,2022,0
68,1814,3145,15000
69,1752,1830,20000
70,1244,2676,5000
71,20,2109,0
72,658,1718,0
73,1340,2037,10000
74,2124,4027,15000
75,884,2060,10000
76,1253,2079,5000
77,2081,3026,5000
78,1825,3256,15000
79,1509,2081,10000
80,1407,2617,5000
81,7426,2575,10000
82,1349,3180,15000
83,662,1822,5000
84,13211,1952,15000
85,2633,1889,5000
86,3341,4398,5000
87,1813,2555,15000
88,6532,4339,15000
89,2466,2399,10000
90,2846,2992,10000
91,2873,2767,15000
92,949,3687,10000
93,2000,3082,20000
94,7012,3182,10000
95,405,2103,5000
96,836,3298,5000
97,9722,2521,10000
98,20,3085,5000
99,1001,2812,10000
100,591,2195,0
101,1007,3167,15000
102,918,2575,10000
103,1304,2695,5000
104,598,2159,10000
105,552,1691,5000
106,374,1372,10000
107,809,2503,20000
108,3977,3075,20000
109,1823,3093,0
110,218,2988,15000
111,82,2920,0
112,7195,2762,10000
113,1859,3057,5000
