Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,3527,3563,0
1,20,1026,5000
2,1528,2516,5000
3,315,1159,20000
4,2311,2263,10000
5,5638,5197,10000
6,1068,1904,10000
7,1082,2628,5000
8,117,1583,5000
9,2916,4546,5000
10,1828,2595,0
11,2186,2377,15000
12,2824,3460,5000
13,112,1396,5000
14,7597,2705,5000
15,119,340,20000
16,909,1070,5000
17,20,1430,10000
18,1337,3979,5000
19,2327,4175,15000
20,1905,3010,15000
21,1291,2880,5000
22,1406,2342,15000
23,13159,3396,20000
24,132,929,5000
25,50,1235,0
26,675,2042,0
27,532,2641,0
28,329,1960,20000
29,6542,3452,15000
30,7299,3088,20000
31,5069,5365,15000
32,8152,1966,20000
33,1667,2777,10000
34,473,2782,10000
35,1504,3582,15000
36,13783,3508,20000
37,2205,2723,5000
38,553,2077,15000
39,2887,3876,5000
40,3316,2625,5000
41,1843,2504,10000
42,10107,1640,20000
43,20,1386,5000
44,50,1484,5000
45,106,1885,15000
46,1511,2241,20000
47,50,1604,5000
48,298,2440,20000
49,5696,2981,5000
50,604,2528,10000
51,250,2276,5000
52,399,3152,5000
53,789,2363,10000
54,1305,2972,5000
55,553,2146,15000
56,684,3242,10000
57,398,2140,10000
58,322,1757,0
59,631,2328,5000
60,1907,3493,10000
61,518,2766,0
62,6498,2787,20000
63,4315,3376,10000
64,1818,2376,10000
65,169,1488,5000
66,11535,3468,20000
67,3144,4332,10000
68,3104,3966,10000
69,2426,1502,5000
70,1655,2641,0
71,20,1807,15000
72,719,1230,0
73,695,1886,5000
74,2275,2427,15000
75,649,2060,5000
76,1214,2049,10000
77,1889,2300,15000
78,3225,2826,5000
79,1609,3231,5000
80,3441,2200,10000
81,1141,2337,10000
82,939,3299,5000
83,1122,2048,5000
84,12486,2728,20000
85,4649,3424,15000
86,771,2884,10000
87,646,1652,0
88,699,2860,5000
89,909,1954,0
90,1312,3279,15000
91,328,2004,5000
92,401,2331,20000
93,725,2433,10000
94,1460,2255,5000
95,455,2229,5000
96,11808,2301,20000
97,7694,2918,10000
98,20,3610,5000
99,799,2798,5000
100,173,1487,15000
101,510,3216,5000
102,382,3131,15000
103,648,2335,5000
104,604,2631,10000
105,343,1676,5000
106,279,1157,15000
107,644,2843,20000
108,825,2324,5000
109,50,1815,5000
110,332,1377,0
111,82,1375,15000
112,165,2390,15000
113,239,2415,5000
114,625,2312,0
115,7590,2431,20000
116,3017,3770,10000
117,398,2192,15000
118,3304,2982,10000
119,632,2147,5000
120,703,1800,15000
121,833,2640,0
122,4390,2860,20000
123,113,1515,5000
124,155,2320,20000
125,1615,4475,5000
126,3213,3508,5000
127,4372,5094,10000
128,4533,3652,10000
129,3258,4736,10000
130,2251,4399,15000
131,845,1996,10000
132,13499,2864,15000
133,2258,2790,5000
134,651,3849,5000
135,1698,2577,5000
136,3205,2790,5000
137,1570,2140,5000
138,2476,3924,5000
139,2491,2322,0
140,1466,2382,0
141,837,1640,5000
142,1109,3825,5000
143,1838,2431,20000
144,1065,1943,5000
145,2131,2745,15000
146,3657,3235,10000
147,7155,2902,20000
148,4138,4013,10000
149,299,3418,5000
150,3787,2435,5000
151,315,2487,0
152,285,2580,15000
153,9637,2350,20000
154,10993,3972,10000
155,372,2658,0
156,822,3240,20000
157,1031,3255,5000
158,2467,2887,5000
159,1243,1303,15000
160,3755,3612,5000
161,3424,2709,10000
162,2409,3537,10000
163,2479,2977,0
164,480,1799,0
165,641,3515,15000
166,1860,2457,5000
167,2459,3314,15000
168,50,1576,5000
169,7788,2387,15000
170,3153,3663,5000
171,3638,5185,15000
172,3368,2871,0
173,6508,4805,5000
174,1534,3687,10000
175,904,3639,10000
176,4925,3369,15000
177,93,1740,10000
178,10366,1966,20000
179,8644,2811,20000
180,1755,2072,5000
181,1504,3111,10000
182,3012,3363,15000
183,4729,3831,10000
184,8326,3765,20000
185,1153,2547,10000
186,2762,2661,10000
187,3347,3277,10000
188,2985,2989,10000
189,2477,3336,10000
190,1611,2655,15000
191,2361,1768,5000
192,2054,2200,10000
193,20,3884,0
194,866,2750,5000
195,2738,2085,10000
196,3356,4040,5000
197,1325,2181,5000
198,1197,1260,5000
199,3594,3516,5000
200,1175,2287,10000
201,2357,2505,15000
202,1135,2460,5000
203,1615,2588,10000
204,1341,2947,15000
205,2060,2900,0
206,1914,2300,10000
207,3897,4456,5000
208,2422,3099,10000
209,2523,2986,5000
210,1323,2786,10000
211,1558,2074,0
212,2672,2725,5000
213,2159,3214,5000
214,3178,2770,10000
215,2188,2837,5000
216,2444,2745,5000
217,1906,2934,5000
218,1064,2570,5000
219,1741,2800,15000
220,3452,2588,5000
221,2793,3826,0
222,1815,3836,5000
223,2660,3182,10000
224,3616,3861,5000
225,1978,2888,0
226,3295,3641,10000
227,2494,3317,20000
228,9397,3699,10000
229,1434,1622,10000
230,516,3499,15000
231,2136,3274,5000
232,11632,3184,5000
233,1069,3095,0
234,645,2589,0
235,1116,2270,10000
236,361,2699,5000
237,600,2026,10000
238,552,2009,10000
239,674,2512,5000
240,1609,3433,0
241,1050,2540,10000
242,1346,3452,0
243,569,3428,10000
