Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,8443,5382,15000
1,1521,3128,0
2,5016,2473,10000
3,452,1873,15000
4,9254,1260,20000
5,1349,2727,5000
6,558,2394,0
7,50,1286,0
8,89,2116,5000
9,840,1869,5000
10,50,1745,0
11,4738,1388,20000
12,2035,3455,10000
13,2273,2791,10000
14,2401,2914,0
15,279,313,0
16,492,934,10000
17,3413,3871,0
18,1170,3697,5000
19,1735,3259,0
20,129,2464,5000
21,5880,3515,5000
22,950,2632,15000
23,3671,3608,10000
24,132,1237,15000
25,50,3902,0
26,6111,2249,20000
27,2402,2459,10000
28,14315,2542,10000
29,1192,3710,5000
30,2138,2931,15000
31,1124,4061,20000
32,3710,3150,10000
33,835,1985,0
34,1471,4312,5000
35,1804,3294,0
36,14521,3448,20000
37,312,2310,15000
38,3981,3747,0
39,4441,4460,5000
40,6091,2958,5000
41,789,2254,0
42,7059,2544,20000
43,3039,3917,5000
44,592,2807,15000
45,4834,2316,20000
46,597,1778,5000
47,985,2220,10000
48,8023,1887,20000
49,7155,4988,0
50,2436,4238,15000
51,475,3917,5000
52,1101,3116,10000
53,1117,3637,10000
54,14658,2272,20000
55,20,1309,15000
56,3376,2524,10000
57,1970,2304,10000
58,166,1642,10000
59,6737,3376,20000
60,50,2591,10000
61,50,1032,0
62,1705,2759,20000
63,322,2340,10000
64,190,1705,0
65,1119,2222,5000
66,1095,3587,0
67,5440,1494,20000
68,50,1885,10000
69,50,1352,5000
70,296,2276,20000
71,20,2440,10000
72,719,1265,5000
73,1703,3195,10000
74,7099,2469,10000
75,1014,2067,20000
76,779,2161,15000
77,3342,3516,5000
78,9621,2848,20000
79,1008,3207,0
80,2373,3072,15000
81,1180,2426,5000
82,630,2022,10000
83,284,1829,0
84,1287,1832,0
85,2005,1443,10000
86,1637,2848,5000
87,997,2347,10000
88,2580,3866,5000
89,571,2287,0
90,1901,2635,10000
91,1712,2632,5000
92,1190,2547,15000
93,2409,2828,15000
94,50,1980,10000
95,475,2995,10000
96,391,3633,20000
97,611,2770,0
98,20,2611,10000
99,1334,3856,10000
100,10149,856,20000
101,3198,3933,10000
102,6243,4592,5000
103,1327,2615,15000
104,3295,4410,15000
105,3257,3397,10000
106,846,1449,5000
107,1668,2679,10000
108,2487,2667,10000
109,1454,3523,5000
110,1484,2413,5000
111,82,3506,5000
112,1466,2940,10000
113,9174,2775,15000
114,3064,3257,5000
115,5663,3582,15000
116,5010,3216,20000
117,2789,3838,10000
118,10895,2650,20000
119,2255,2884,10000
120,2113,4102,5000
121,9818,2490,20000
122,5092,3097,5000
123,1436,3197,10000
124,5870,4198,10000
125,429,1710,5000
126,545,2528,10000
127,15951,2340,20000
128,3274,3337,5000
129,5532,4362,5000
130,4206,5566,10000
131,684,1988,15000
132,9291,3475,20000
133,6305,1205,20000
134,2304,3888,5000
135,929,3293,5000
136,3255,2692,5000
137,1285,2835,5000
138,2476,3685,0
139,2823,2336,10000
140,564,2681,0
141,873,2335,0
142,2893,2888,10000
143,809,2229,20000
144,5293,2346,10000
145,2393,3210,10000
146,2624,3605,20000
147,1257,2491,0
148,780,3208,15000
149,1447,2805,5000
150,282,2525,10000
151,735,1988,5000
152,1276,2470,5000
153,11683,2514,20000
154,12785,2488,20000
155,1148,1939,10000
156,1688,3401,0
157,1088,3053,0
158,1547,2429,5000
159,724,1452,5000
160,12763,3408,15000
161,1720,2996,10000
162,940,2424,5000
163,1386,2906,0
164,1065,1490,5000
165,426,2214,5000
166,1056,1799,5000
167,1411,2985,15000
168,1716,1634,5000
169,7739,2895,15000
170,1560,3384,10000
171,11822,3181,20000
172,3460,3240,5000
173,4202,4480,0
174,2584,3205,5000
175,2214,4030,5000
176,4518,3300,0
177,260,4570,0
178,1634,3318,5000
179,655,3966,10000
180,2187,2443,10000
181,1990,3192,5000
182,4805,4033,5000
183,4808,2930,10000
184,4686,3305,15000
185,2150,2586,15000
186,98,1061,0
187,6520,1707,10000
188,5615,1915,20000
189,1832,3036,10000
190,1342,3026,10000
191,2055,2191,15000
192,3335,2733,0
193,20,5619,0
194,2129,3763,10000
195,2293,3886,5000
196,5096,4492,0
197,3202,3655,5000
198,1593,1984,5000
199,5071,3732,5000
200,2393,4579,5000
201,2542,2821,10000
202,878,3742,5000
203,2847,2536,5000
204,2332,4201,5000
205,4050,3984,10000
206,3611,4075,10000
207,17181,5770,15000
208,3663,2419,20000
209,910,3802,5000
210,298,2463,5000
211,311,1722,20000
212,1611,3655,0
213,11553,3188,20000
214,199,2070,5000
215,11385,2115,20000
216,1792,2446,0
217,1938,2303,10000
218,1838,2894,5000
219,1577,3724,5000
220,2636,2163,15000
221,3074,3195,5000
222,1684,3822,5000
223,1318,3672,20000
224,116,2235,5000
225,50,1476,0
226,3748,2779,20000
227,510,3037,5000
228,50,1515,5000
229,746,2788,5000
230,9888,2676,10000
231,91,3157,10000
232,230,2864,5000
233,230,2309,5000
234,411,2988,10000
235,519,2305,5000
236,837,2907,15000
237,50,1469,5000
238,117,1904,0
239,50,1307,5000
240,376,3452,5000
241,295,3025,5000
242,1083,3687,10000
243,119,2795,5000
244,1269,2566,20000
245,50,2161,5000
246,111,2245,0
247,298,2722,0
248,50,1426,5000
249,1682,2521,0
250,676,2865,10000
251,50,2226,5000
252,372,2619,0
253,344,1537,5000
254,1043,2514,15000
255,620,2423,10000
256,663,3923,15000
257,1499,3511,5000
258,6271,3593,20000
259,3146,3625,5000
260,759,3646,0
261,2035,3077,5000
262,2221,4256,15000
263,1823,2901,0
264,1671,1415,5000
265,2495,3350,5000
266,1842,3296,5000
267,1150,2470,15000
268,2622,3615,15000
269,165,2141,0
270,50,2034,10000
271,50,1291,5000
272,318,1325,5000
273,106,2260,0
274,241,1292,0
275,50,1875,10000
276,184,3247,10000
277,233,2018,5000
278,106,2275,5000
279,176,2111,5000
280,292,2820,10000
281,186,1551,5000
282,50,2266,10000
283,3262,3005,0
284,8871,1089,20000
285,2930,3396,10000
286,739,3012,5000
287,5167,3128,10000
288,2360,3691,5000
289,1014,1503,5000
290,433,2645,5000
291,3546,1997,5000
292,3766,2602,20000
293,1965,2427,10000
294,4008,3799,5000
295,2351,3478,15000
296,3449,4001,0
297,3212,2689,0
298,877,1712,0
299,3230,2805,10000
300,851,3006,15000
301,1297,1899,5000
302,2034,4161,5000
303,1574,1510,0
304,2713,4056,0
305,3390,3391,5000
306,2506,2895,5000
307,3832,3313,5000
308,2992,3517,0
309,2478,2738,10000
310,20,1786,5000
311,5293,3272,10000
312,2263,3726,10000
313,45,1170,20000
314,1164,1494,15000
315,3173,4364,5000
316,1767,3623,0
317,3684,3543,10000
318,4830,2999,15000
319,1025,2206,0
320,2011,2121,15000
321,2269,3096,5000
322,2159,4478,0
323,688,2405,15000
324,3903,3886,0
325,2468,3115,0
326,3359,3940,10000
327,3234,2698,5000
328,3046,2435,20000
329,4917,4286,0
330,2622,4433,10000
331,6008,5225,15000
332,576,1218,5000
333,1697,3842,0
334,529,3529,20000
335,4625,2030,5000
336,465,2249,0
337,614,2286,5000
338,3826,3579,15000
339,2418,2621,10000
340,1080,3429,10000
341,562,2537,10000
342,450,2532,15000
343,3687,2943,5000
344,3167,2576,5000
345,8910,3633,20000
346,125,2406,5000
347,49,1534,5000
348,50,2279,0
349,679,2248,0
350,233,2235,5000
351,121,2430,5000
352,82,1641,20000
353,50,1449,0
354,624,2550,10000
355,778,2755,15000
356,114,1489,5000
357,50,1023,5000
358,20,892,0
359,50,1322,10000
360,112,1180,0
361,356,1264,10000
362,510,2632,0
363,42,2138,20000
364,109,1788,10000
365,349,1583,10000
366,230,2867,20000
367,1865,1420,0
368,1181,2104,5000
369,1809,3141,10000
370,1226,3192,5000
371,223,2919,10000
372,787,1804,0
373,1382,2018,5000
374,1701,2910,15000
375,914,1573,10000
376,1022,1771,10000
377,654,3007,15000
378,2721,2475,10000
379,2037,3308,10000
380,50,1723,5000
381,1097,3185,15000
382,20,2045,0
383,50,2631,5000
384,108,2224,5000
385,184,2515,5000
386,20,1981,5000
387,168,2041,5000
388,50,1712,5000
389,513,2062,10000
390,296,2817,20000
391,2201,3000,10000
392,7520,2260,20000
393,2574,2665,5000
394,2446,3333,0
395,2028,3209,5000
396,1428,2305,10000
397,4390,3235,10000
398,995,2109,0
399,283,1953,20000
400,46,1747,15000
401,840,2465,10000
402,124,1043,0
403,462,1761,5000
404,820,2405,5000
405,685,2090,10000
406,4089,1615,5000
407,523,2761,0
408,515,1996,0
409,302,3085,5000
410,1094,3109,15000
411,569,1674,5000
412,463,2350,15000
413,3947,2775,15000
414,1678,2575,15000
415,484,3198,0
416,1151,3602,5000
417,11076,1810,20000
418,2185,4236,5000
419,4840,2674,15000
420,2443,3145,15000
421,7420,3047,10000
422,3435,3697,15000
423,2363,2717,0
424,238,1622,0
425,1329,2692,15000
426,20,3219,5000
427,4986,3871,15000
428,1054,1812,5000
429,983,3128,10000
430,806,2714,10000
431,1000,3169,10000
432,1385,2515,0
433,1581,2718,5000
434,1785,2615,15000
435,1684,2748,5000
436,2417,4257,5000
437,3017,3003,5000
438,5730,1909,20000
439,2144,3343,15000
440,1995,2899,5000
441,1947,3748,0
442,4360,4198,10000
443,50,2692,0
444,5737,3421,0
445,6395,4298,15000
446,50,1995,0
447,7656,2627,20000
448,1112,2360,15000
449,304,2461,20000
450,460,2791,5000
451,1121,1994,10000
452,113,1380,0
453,1195,2774,5000
454,1362,2680,15000
455,1182,2499,15000
456,2050,2506,5000
457,2893,3887,0
458,468,1213,10000
459,606,2424,0
460,1548,2881,0
461,1813,2647,5000
462,1122,2937,10000
463,849,2562,10000
464,278,2637,5000
465,713,1728,10000
466,1280,2806,5000
467,20,2335,5000
468,833,2033,10000
469,10969,3323,20000
470,2001,3215,5000
471,408,2704,15000
472,6367,4203,5000
473,1902,2538,10000
474,3284,2889,10000
475,4859,2009,10000
476,2267,4335,5000
477,7635,5034,5000
478,1094,2798,0
479,14633,2775,15000
480,3019,3869,15000
481,1703,3628,5000
482,5729,3358,15000
483,11022,3597,20000
484,3280,4479,10000
485,20,861,15000
486,333,2304,20000
487,1058,3616,5000
488,5833,1565,20000
489,4105,4061,0
490,891,3271,15000
491,3850,4063,20000
492,2086,3996,5000
493,1251,2855,10000
494,2221,3186,10000
495,10889,2631,20000
496,1896,1841,5000
497,1888,2827,10000
498,2676,2462,10000
499,2194,2062,10000
500,1717,1927,5000
501,1487,2452,0
502,3098,3012,5000
503,664,1997,15000
504,4218,3309,10000
505,2318,1626,10000
506,1100,3218,0
507,649,2122,5000
508,3154,2541,5000
509,7941,2282,20000
510,1712,1892,10000
511,3919,3117,10000
512,1411,2615,20000
513,574,1358,20000
514,5085,3081,15000
515,1661,1998,10000
516,243,2475,0
517,732,1591,10000
518,1868,2204,10000
519,674,2098,15000
520,879,2092,10000
521,1726,2430,15000
522,1405,1828,5000
523,5587,2801,20000
524,2062,3468,15000
525,7364,4038,10000
526,2817,3741,10000
527,2823,2859,10000
528,1433,2375,5000
529,1737,3586,5000
530,3353,3053,5000
531,2336,2932,10000
532,53,2285,5000
533,1259,2409,0
534,991,3333,5000
535,20,2678,5000
536,2733,2330,5000
537,780,3073,5000
538,1397,1452,10000
539,3408,2063,5000
540,1219,2381,0
541,1882,1965,0
542,1870,2500,5000
543,3069,4472,5000
544,5171,3088,20000
545,1284,1981,10000
546,1474,1292,5000
547,43,2455,0
548,2891,2118,10000
549,2107,3559,15000
550,1155,2044,5000
551,2812,2975,5000
552,2144,2466,10000
553,1591,2586,0
554,2254,3279,10000
555,2072,3041,5000
556,3009,3376,15000
557,3325,2471,15000
558,5609,3744,10000
559,1816,3380,15000
560,452,2136,0
561,1962,2662,0
562,13755,3378,15000
563,5179,4698,0
564,3291,4369,10000
565,2463,3248,0
566,6546,3756,10000
567,2749,4078,0
568,1274,3197,0
569,2298,3722,5000
570,230,2815,0
571,4183,3600,10000
572,6059,4295,5000
573,2537,4945,15000
574,4898,2664,20000
575,2118,2728,10000
576,2418,2797,10000
577,1017,3183,0
578,2226,2086,5000
579,1813,3083,10000
580,1892,3690,20000
581,7031,2735,20000
582,11164,3510,5000
583,1186,2243,15000
584,1896,3836,15000
585,1841,3091,10000
586,925,1447,0
587,1730,2263,20000
588,1751,1897,5000
589,1827,2595,10000
590,2000,3201,10000
591,1309,2600,15000
592,780,2208,15000
593,1232,1485,5000
594,1060,1660,0
595,2551,3984,15000
596,827,2041,5000
597,980,3386,0
598,778,2752,10000
599,1375,3196,5000
600,888,3388,10000
601,945,1847,5000
602,928,2294,10000
603,2586,3012,10000
604,1067,2477,5000
605,1302,2743,5000
606,1060,1904,5000
607,1832,3536,5000
608,457,2089,5000
609,2345,3572,5000
610,6527,2710,20000
611,2864,3800,5000
612,1482,2570,15000
613,1271,2112,10000
614,953,2494,5000
615,2281,3194,15000
616,1390,3583,15000
617,588,3050,15000
618,2465,2865,15000
619,1529,3114,5000
620,715,1582,5000
621,1768,2770,10000
622,1458,2643,0
623,1586,3575,5000
624,1222,1673,10000
625,4587,2877,20000
626,499,2854,5000
627,162,1850,20000
628,1960,2271,10000
629,1431,2770,5000
630,1198,2303,10000
