Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,1702,4125,5000
1,1329,3166,5000
2,1995,4646,5000
3,264,2967,5000
4,5492,5218,40000
5,7903,4724,10000
6,4215,3188,5000
7,1037,4037,5000
8,770,4763,10000
9,1155,4094,40000
10,1212,3560,5000
11,2920,3984,15000
12,5878,5573,25000
13,4913,4583,5000
14,2019,3911,35000
15,302,3051,30000
16,2125,3527,0
17,6898,4623,40000
18,2794,5770,10000
19,1489,4666,5000
20,6383,4538,20000
21,4875,4097,15000
22,7158,4161,15000
23,7501,5600,15000
24,1264,2535,5000
25,50,2638,15000
26,4984,2026,15000
27,511,2794,20000
28,6865,5503,15000
29,50,3125,5000
30,3058,2971,10000
31,4692,6306,10000
32,810,3944,10000
33,50,3423,40000
34,1823,5615,35000
35,2173,5118,10000
36,2604,5396,5000
37,6018,3320,20000
38,3063,4502,15000
39,927,3307,15000
40,228,2924,5000
41,1950,4289,15000
42,5156,6381,10000
43,20,2471,10000
44,328,3468,20000
45,225,3334,15000
46,50,2469,0
47,5018,3393,15000
48,2582,3741,10000
49,14294,4105,10000
50,50,2866,10000
51,249,3267,5000
52,50,3106,10000
53,3725,3551,40000
54,14204,4462,40000
55,52,1592,5000
56,504,3123,10000
57,50,2915,15000
58,731,3310,15000
59,137,3048,10000
60,12339,3443,10000
61,110,3393,5000
62,226,4152,5000
63,50,3325,10000
64,174,2795,5000
65,50,2340,15000
66,50,2587,20000
67,1390,4112,5000
68,50,4295,10000
69,194,3055,40000
70,226,3144,10000
71,20,2351,15000
72,111,1816,35000
73,126,2245,5000
74,439,3674,5000
75,155,1867,15000
76,686,2928,35000
77,11965,3529,10000
78,311,2191,10000
79,112,2514,10000
80,3697,2773,10000
81,3424,5821,5000
82,948,3728,20000
83,969,3071,5000
84,1965,5435,20000
85,6288,2890,5000
86,2262,4112,10000
87,712,2495,20000
88,108,4181,0
89,131,2542,10000
90,2765,3699,15000
91,1318,4687,5000
92,1305,3583,5000
93,1821,3463,20000
94,6697,5032,40000
95,3422,3701,15000
96,2396,4705,10000
97,2826,4542,5000
98,20,4058,10000
99,4597,4251,15000
100,1599,3918,10000
101,3255,4727,15000
102,4506,5841,20000
103,5231,4721,40000
104,2459,4187,10000
105,3197,4112,5000
106,1372,2162,0
107,1166,4321,5000
108,1883,3945,20000
109,1115,4022,10000
110,1523,3918,5000
111,82,5416,35000
112,1865,3251,20000
113,1445,3230,15000
114,2109,2800,5000
115,184,4522,15000
116,8236,5539,40000
117,1256,3643,10000
118,2171,4890,10000
119,1510,4059,10000
120,1051,3042,15000
121,1760,4095,0
122,1775,5311,10000
123,742,3606,0
124,2676,4805,15000
125,4211,2707,15000
126,8005,2401,40000
127,2795,4626,5000
128,1558,3241,0
129,622,4130,10000
130,522,5518,35000
131,398,2840,0
132,718,4282,10000
133,1535,3012,10000
134,1347,3899,10000
135,1182,3140,15000
136,2125,4293,10000
137,1778,4322,15000
138,1618,3914,5000
139,3346,3879,10000
140,1257,2071,10000
141,195,3605,5000
142,1210,5535,30000
143,673,2374,5000
144,1359,2480,10000
145,11493,4279,10000
146,2928,3487,5000
147,2183,4755,15000
148,1914,4782,25000
149,4425,5509,10000
150,1068,3405,15000
151,3117,4458,10000
152,1528,3651,15000
153,1200,3669,5000
154,1617,4444,10000
155,1148,2813,10000
156,1684,4807,15000
157,735,4472,5000
158,4499,4099,40000
159,3120,3321,15000
160,1975,4062,20000
161,2820,3919,5000
162,1468,4791,40000
163,2391,5940,40000
164,1104,3417,40000
165,1288,3481,40000
166,2521,4093,0
167,5736,5079,20000
168,1974,3035,35000
169,3158,5108,40000
170,11183,3278,40000
171,13148,3145,40000
172,1470,6021,35000
173,11422,3664,40000
174,7742,3048,40000
175,460,3733,5000
176,3972,4417,40000
177,20,3395,40000
178,1520,4408,15000
