Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,14461,1586,0
1,3887,1566,0
2,6618,1174,0
3,5816,629,10000
4,295,1310,5000
5,2448,1837,0
6,1939,1197,0
7,894,952,0
8,5038,1204,10000
9,4505,1134,0
10,3329,1000,0
11,3094,1248,0
12,166,1408,0
13,841,1472,0
14,584,1120,0
15,248,433,0
16,1199,530,0
17,4304,1841,0
18,20,626,0
19,50,936,0
20,50,752,0
21,50,660,0
22,10174,1260,0
23,2706,2344,0
24,184,560,0
25,50,722,0
26,110,858,0
27,50,1332,0
28,112,1040,0
29,7824,1654,0
30,2064,1451,0
31,13998,2219,0
32,5190,1361,0
33,2591,1358,0
34,1198,1455,0
35,5014,1999,5000
36,8292,2419,0
37,6397,1215,0
38,1597,925,0
39,2069,1616,0
40,3904,1598,5000
41,50,630,5000
42,1390,1088,0
43,3815,2073,0
44,5472,1162,10000
45,225,991,0
46,2200,1040,0
47,5920,1502,0
48,6897,1069,10000
49,14409,1160,10000
50,5345,1635,0
51,475,814,0
52,114,716,0
53,5408,906,5000
54,9450,1945,10000
55,190,330,0
56,1668,1477,0
57,50,693,0
58,155,846,0
59,11698,1465,10000
60,131,1341,0
61,3135,727,0
62,6233,1291,10000
63,10397,2408,5000
64,1260,1445,0
65,1879,877,0
66,6841,1885,10000
67,5600,970,5000
68,4064,2467,0
69,1876,1148,0
70,2786,1532,0
71,20,1068,0
72,719,764,5000
73,8885,1094,0
74,6979,1953,0
75,1504,1282,0
76,2010,1251,0
77,3316,2330,0
78,2817,1853,0
79,2907,1100,0
80,5605,1312,0
81,4689,1682,0
82,2001,980,0
83,2743,690,5000
84,13358,1515,0
85,6832,1235,0
86,10765,444,10000
87,869,1057,0
88,685,2110,0
89,551,1177,0
90,5613,1246,0
91,7661,1014,0
92,1430,931,0
93,8547,972,0
94,692,1110,5000
95,1835,926,0
96,2150,2190,0
97,10927,1320,0
98,20,1290,0
99,13083,1320,5000
100,173,670,0
101,2971,1440,10000
102,116,1195,0
103,392,1665,0
104,748,974,0
105,417,998,0
106,4776,498,5000
107,263,1168,0
108,1818,1605,0
109,8731,1110,0
110,168,527,0
111,82,686,0
112,50,1386,0
113,163,1210,0
114,1265,1356,0
115,5566,1485,0
116,2858,1373,0
117,5193,1308,0
118,11350,1016,5000
119,2380,1511,0
120,7127,990,0
121,4601,2173,0
122,2792,1992,0
123,3346,1340,0
124,9864,2021,0
125,108,676,5000
126,8313,552,0
127,11561,2707,0
128,2704,1376,0
129,3192,2007,0
130,1843,1522,0
131,6479,1043,0
132,3628,1715,0
133,6402,1242,0
134,4999,1837,0
135,1453,1214,0
136,6827,1022,0
137,6788,1505,5000
138,50,552,0
139,2399,1276,0
140,50,1130,0
141,201,775,0
142,131,1082,0
143,50,781,0
144,20,460,0
145,11475,899,0
146,1603,1567,10000
147,4769,1850,0
148,14136,525,10000
149,5213,1868,0
150,1022,1313,0
151,7620,1333,0
152,6532,1108,0
153,661,1466,0
154,2162,1240,0
155,1662,1132,0
156,13472,1308,0
157,2932,920,0
158,4548,1373,10000
159,3021,1057,0
160,15260,1277,0
161,4941,1059,0
162,7704,1536,0
163,4062,2282,5000
164,2108,1388,0
165,1242,1818,0
166,8383,1224,5000
167,10843,788,10000
168,4758,1100,5000
169,4096,1981,0
170,10385,1873,0
171,1536,1985,5000
172,1402,1876,0
173,4735,1494,5000
174,7792,1149,0
175,5786,1286,0
176,3904,1932,0
177,260,1600,0
178,4372,1156,0
179,7252,2304,10000
180,1516,820,0
181,4025,1079,0
182,5227,2252,5000
183,6022,1069,0
184,7759,1375,0
185,4212,648,5000
186,374,706,0
187,3621,1437,0
188,2990,1416,0
189,9151,1438,0
190,1647,1253,0
191,1815,1228,0
192,4995,1018,0
193,20,1656,0
194,9338,1465,0
195,2619,1033,0
196,3491,1742,0
197,7418,1810,0
198,1720,784,0
199,7102,1966,0
200,5096,1495,0
201,1930,1067,0
202,4289,1374,0
203,3457,1026,0
204,9912,1267,10000
205,4730,1626,0
206,5004,2067,0
207,9602,2620,0
208,497,944,5000
209,1554,2045,0
210,982,1389,0
211,204,924,0
212,6459,1450,0
213,14103,1686,0
214,957,1281,0
215,751,847,5000
216,595,1196,0
217,1538,1278,0
218,564,854,0
219,9764,1618,0
220,4982,2150,0
221,5888,1782,0
222,347,992,0
223,4375,1410,0
224,480,1600,0
225,4964,1153,5000
226,854,1424,5000
227,10727,1315,5000
228,5627,2117,0
229,4346,1656,5000
230,2139,1971,0
231,9987,1251,0
232,2145,1540,5000
233,7321,697,10000
234,7707,2108,0
235,50,1155,0
236,9066,526,10000
237,184,583,0
238,7521,1320,0
239,5624,1058,5000
240,183,1008,0
241,5648,1201,0
242,827,1607,0
243,219,901,0
244,964,1308,0
245,116,991,0
246,224,742,0
247,1075,1506,0
248,7919,1244,5000
249,50,1055,0
250,179,1257,0
251,1253,1136,0
252,1013,1519,0
253,6476,995,0
254,107,675,5000
255,173,1475,0
256,3359,774,0
257,497,1236,0
258,7050,1223,0
259,254,987,0
260,667,548,0
261,324,523,0
262,108,952,0
263,182,1113,0
264,50,650,0
265,159,1077,0
266,8980,1661,10000
267,1343,1160,0
268,12593,1695,10000
269,4382,1034,5000
270,50,583,0
271,50,749,0
272,50,371,0
273,50,751,0
274,825,648,0
275,50,1085,0
276,50,1079,0
277,4442,878,10000
278,50,913,0
279,6762,970,0
280,18245,1598,10000
281,2082,869,0
282,5153,1395,0
283,5825,1410,10000
284,8270,645,0
285,7242,2531,0
286,50,584,0
287,11232,1614,10000
288,3235,1822,0
289,3381,981,0
290,5659,1069,0
291,4080,770,10000
292,4654,1327,0
293,3626,716,0
294,8442,1975,0
295,3790,1078,0
296,8221,2046,5000
297,542,1136,5000
298,591,591,0
299,926,1380,0
300,107,928,0
301,456,710,5000
302,183,585,0
303,133,656,0
304,13304,997,10000
305,5296,1554,5000
306,124,965,0
307,357,1645,0
308,871,1490,0
309,9576,1080,5000
310,20,525,0
311,50,1080,0
312,174,1073,0
313,20,446,0
314,8420,710,0
315,174,726,0
316,50,752,0
317,5168,1304,5000
318,7224,1587,10000
319,1748,1140,0
320,7516,983,10000
321,10174,897,5000
322,5730,1621,0
323,2908,1996,0
324,10213,1857,0
325,3185,982,0
326,8067,1688,0
327,5574,1600,0
328,5609,1432,0
329,11568,1993,0
330,1449,1871,0
331,2219,1977,0
332,925,378,0
333,2974,2198,0
334,3308,1535,5000
335,5454,1022,0
336,9095,946,5000
337,5403,1906,0
338,1814,1532,0
339,3180,1709,0
340,8322,1281,0
341,1470,1338,0
342,928,837,10000
343,5367,1334,0
344,3629,487,0
345,2166,1305,0
346,3408,1095,5000
347,2484,680,0
348,12084,1535,0
349,1860,1073,5000
