Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,14712,1446,10000
1,10470,1909,10000
2,4984,3110,0
3,1132,1662,5000
4,2260,2377,0
5,1580,1974,5000
6,8750,1430,10000
7,2865,1451,10000
8,2903,2630,0
9,1650,1202,0
10,1300,1579,5000
11,2081,1924,5000
12,2357,1867,5000
13,1650,1389,5000
14,1848,2993,5000
15,228,515,5000
16,909,674,5000
17,1547,1821,5000
18,1337,1247,5000
19,1435,1683,5000
20,7027,1784,10000
21,11109,1890,10000
22,2423,2151,0
23,1854,2555,5000
24,699,1929,5000
25,50,1837,0
26,1264,1139,0
27,1511,1663,0
28,14869,640,10000
29,8239,1315,10000
30,2232,2022,0
31,13132,2955,10000
32,1255,1836,0
33,50,871,10000
34,2146,2619,0
35,1553,2076,5000
36,14424,1509,10000
37,2206,1694,0
38,1767,2084,0
39,1321,2131,5000
40,1439,1940,5000
41,1381,1356,5000
42,1029,1143,10000
43,2485,1921,5000
44,1879,2121,5000
45,1205,1381,10000
46,5397,1483,10000
47,3350,2186,5000
48,2072,3209,5000
49,2882,3035,0
50,1578,2136,0
51,419,2047,5000
52,569,1511,0
53,5220,1873,10000
54,2413,2411,5000
55,1145,2484,5000
56,1678,2675,5000
57,1082,1789,5000
58,1345,1248,5000
59,9404,1934,10000
60,4384,3343,5000
61,401,1329,0
62,1815,1971,5000
63,1303,1935,5000
64,1493,2310,5000
65,1890,2190,0
66,12206,2021,10000
67,710,1564,10000
68,1918,2401,5000
69,1049,1192,5000
70,1596,1881,5000
71,20,692,5000
72,387,1160,10000
73,741,2482,5000
74,1790,2092,5000
75,333,1246,0
76,1147,2180,10000
77,2522,2565,10000
78,663,1757,5000
79,499,1148,5000
80,681,1385,5000
81,1773,1926,5000
82,217,1367,0
83,352,1350,0
84,990,1916,10000
85,2957,2323,0
86,1044,1840,5000
87,1161,1812,0
88,11663,2370,10000
89,490,1646,5000
90,1557,1830,5000
91,2069,3101,0
92,1069,1759,5000
93,1384,2573,5000
94,8924,1535,10000
95,747,1404,10000
