Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,11179,2042,10000
1,1302,2139,5000
2,1016,2232,10000
3,469,1540,5000
4,6928,2049,10000
5,2692,2517,5000
6,2680,1444,5000
7,1193,1585,5000
8,2330,1579,0
9,1542,1530,0
10,2797,1850,10000
11,728,1612,5000
12,12606,1435,10000
13,1869,2185,0
14,7188,1097,10000
15,208,337,5000
16,575,1448,5000
17,5302,1631,10000
18,9295,1217,10000
19,1290,2780,0
20,1268,2075,5000
21,11719,1837,10000
22,2451,1862,5000
23,5015,2349,10000
24,344,1584,5000
25,50,1558,5000
26,1574,1392,0
27,1320,1506,0
28,13748,1715,10000
29,835,2150,10000
30,50,1235,0
31,14294,1682,10000
32,1795,2003,5000
33,126,815,5000
34,462,2162,10000
35,605,1625,5000
36,15044,1395,10000
37,784,1952,5000
38,814,1684,0
39,2361,2551,5000
40,10322,1260,10000
41,50,1106,5000
42,365,1287,0
43,10841,1865,10000
44,176,2032,5000
45,3905,920,10000
46,4419,1689,10000
47,349,1600,0
48,2424,2416,10000
49,10927,2235,10000
50,11292,1159,10000
51,112,1270,0
52,5685,923,10000
53,460,2775,0
54,2695,2146,5000
55,69,692,5000
56,3775,2990,10000
57,336,1346,10000
58,1172,1347,5000
59,12566,1145,10000
60,12030,2145,10000
61,50,947,5000
62,1379,1700,5000
63,1018,1980,10000
64,523,1340,0
65,1212,1998,0
66,12383,2113,10000
67,333,1940,0
68,746,1880,5000
69,355,902,5000
70,574,2154,10000
71,20,1267,5000
72,275,1515,0
73,303,886,5000
74,50,1087,5000
75,155,920,10000
76,6296,1204,10000
77,11911,1755,10000
78,395,2046,5000
79,286,1590,10000
80,115,1510,5000
81,7204,2001,10000
82,342,1020,0
83,167,1452,0
84,786,1885,10000
85,428,1461,0
86,6564,2063,10000
87,1578,1465,0
88,227,1660,5000
89,246,1588,10000
90,5735,876,10000
91,8704,1506,10000
92,50,725,0
93,558,1451,10000
94,464,1539,10000
95,346,2114,0
96,106,1230,10000
97,1068,1983,0
98,20,1806,5000
99,282,2105,5000
100,10250,485,10000
101,10446,1369,10000
102,17629,1545,10000
103,250,1265,5000
104,371,1311,0
105,109,891,5000
106,342,1197,5000
107,10585,806,10000
108,293,1549,5000
109,593,1478,5000
110,168,1677,5000
111,82,3152,5000
112,12922,1417,10000
113,5219,2103,10000
114,11424,1113,10000
115,1304,1794,5000
116,303,1432,5000
117,804,1865,5000
118,11223,1045,10000
119,1096,1164,5000
120,1211,1541,10000
121,1959,2121,5000
122,8201,2391,10000
123,109,1275,0
124,9382,1942,10000
125,113,1413,5000
126,178,1237,5000
127,831,1577,0
128,944,1520,5000
129,1924,2541,5000
130,5045,1325,10000
131,50,1192,0
132,14000,1370,10000
133,50,1756,0
134,183,2130,0
135,137,1165,10000
136,675,1400,10000
137,50,1520,5000
138,533,1629,5000
139,4005,1511,10000
140,122,1433,0
141,453,823,5000
142,116,2135,5000
143,1450,955,10000
144,319,898,10000
145,1424,2501,5000
146,4706,1540,10000
147,12293,1310,10000
148,14066,1082,10000
149,131,1920,0
