Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,890,5686,10000
1,3637,3581,40000
2,2310,4751,5000
3,688,4772,5000
4,2222,3222,20000
5,1564,4622,10000
6,3653,3209,0
7,2667,4124,40000
8,115,2947,10000
9,1862,4249,20000
10,1825,3882,5000
11,115,2647,40000
12,105,3570,10000
13,543,3128,10000
14,1259,3224,5000
15,302,1095,10000
16,50,1661,10000
17,283,4274,5000
18,20,2282,25000
19,775,4939,5000
20,1624,3579,5000
21,50,3092,15000
22,5211,4075,10000
23,2216,5825,25000
24,253,2342,0
25,50,3561,10000
26,1050,2963,10000
27,3283,5107,10000
28,789,5425,5000
29,2114,4405,5000
30,8321,3180,20000
31,4706,4932,10000
32,1888,3957,40000
33,50,2878,5000
34,110,4139,10000
35,107,3129,40000
36,15139,3677,40000
37,2790,3429,5000
38,1463,3049,25000
39,4618,5649,15000
40,1014,4573,10000
41,3928,5246,20000
42,600,3631,30000
43,1799,4511,15000
44,5641,4130,25000
45,1714,2664,5000
46,1204,3536,15000
47,2949,3525,5000
48,3074,4378,25000
49,290,4080,10000
50,9200,3591,40000
51,475,6242,5000
52,1275,4933,5000
53,3100,5115,15000
54,5341,5270,10000
55,574,2624,5000
56,3824,3408,10000
57,1690,3828,5000
58,1335,3122,10000
59,2234,5178,15000
60,2825,4619,15000
61,904,2883,0
62,2956,5081,20000
63,2970,4385,15000
64,2003,3095,10000
65,2471,2432,20000
66,4670,5747,10000
67,434,2458,10000
68,3039,6015,20000
69,1306,3250,10000
70,2088,4868,5000
71,20,2351,5000
72,436,2483,10000
73,1548,3525,0
74,2331,3387,10000
75,1303,3868,10000
76,2475,3845,15000
77,2691,3537,15000
78,2431,4161,20000
79,4175,3031,20000
80,3181,3196,25000
81,2880,6136,5000
82,1930,4071,40000
83,969,3265,5000
84,2023,5731,40000
85,6323,3271,20000
86,50,2569,5000
87,280,2536,5000
88,348,5180,0
89,50,2432,30000
90,1246,3547,5000
91,156,4832,5000
92,231,2985,10000
93,503,2647,0
94,262,4102,0
95,50,2633,5000
96,106,3311,40000
97,1644,3795,5000
98,20,4072,5000
99,4524,3648,10000
100,7301,3962,40000
101,625,4459,20000
102,827,4090,25000
103,5791,3862,30000
104,1017,3534,10000
105,1806,3902,5000
106,1264,2364,5000
107,7795,3456,10000
108,3221,4066,5000
109,787,4480,35000
110,106,2319,10000
111,82,3038,40000
