Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,574,3685,5000
1,8176,4672,10000
2,3471,3506,20000
3,625,5708,35000
4,9340,2825,40000
5,4592,4196,15000
6,4418,4801,15000
7,50,2012,15000
8,240,3296,5000
9,1285,2704,10000
10,1695,4321,5000
11,50,2941,40000
12,50,3015,5000
13,3219,3526,10000
14,240,2725,10000
15,273,1961,5000
16,778,4166,40000
17,115,2430,5000
18,53,2624,0
19,246,2879,5000
20,1745,4120,10000
21,167,3757,5000
22,510,3302,5000
23,162,4895,40000
24,312,2487,5000
25,50,2628,10000
26,1726,3504,40000
27,2596,5404,15000
28,1483,4716,20000
29,2919,5995,15000
30,951,3676,5000
31,10232,6321,30000
32,2366,4517,15000
33,716,3162,20000
34,1244,4300,5000
35,1601,3887,10000
36,2195,4353,0
37,5890,3269,15000
38,1415,2633,20000
39,11320,2790,40000
40,4077,5469,15000
41,2699,3731,20000
42,7445,2768,20000
43,2455,4236,35000
44,3708,4449,15000
45,4292,2799,20000
46,878,3064,10000
47,4687,3885,10000
48,1215,4094,15000
49,1051,4430,5000
50,947,3039,15000
51,362,4640,0
52,391,2753,10000
53,50,2840,5000
54,1030,3322,15000
55,8349,2668,40000
56,3720,3712,15000
57,3318,6016,15000
58,161,2441,5000
59,12725,2897,20000
60,2950,4247,15000
61,2302,4555,5000
62,5492,5253,35000
63,5694,6795,20000
64,1622,3190,5000
65,2696,2845,10000
66,3586,4981,10000
67,4936,3342,40000
68,2316,3546,10000
69,1743,3494,5000
70,1989,4336,10000
71,20,4008,30000
72,111,2208,10000
73,7926,1866,10000
74,221,2964,20000
75,20,1449,10000
76,106,2798,20000
77,1036,5620,25000
78,2128,4239,10000
79,1203,3770,15000
80,1715,3116,20000
81,468,3107,15000
82,117,1416,35000
83,908,3682,5000
84,1573,4600,10000
85,2206,2565,5000
86,1396,3763,5000
87,1885,2856,30000
88,1176,5022,0
89,1150,4025,35000
90,983,3538,5000
91,1392,5583,35000
92,467,3240,0
93,982,3627,40000
94,50,2754,5000
95,3095,3045,20000
96,106,4795,40000
97,1560,3080,10000
98,20,3637,5000
99,9444,3242,20000
100,348,2836,0
101,905,5228,5000
102,868,4370,5000
103,2914,3385,5000
104,1072,3139,10000
105,4912,3718,5000
106,224,1286,5000
107,10179,3188,40000
108,695,3222,5000
109,111,2709,10000
110,778,2813,0
111,82,2882,10000
112,6936,4583,20000
113,290,3731,5000
114,438,3574,0
115,50,3461,0
116,50,3075,0
117,169,3225,35000
118,336,4865,40000
119,1434,3678,5000
120,1060,2384,10000
121,4287,4990,40000
122,4511,5255,40000
123,1219,3585,5000
124,2590,4026,20000
125,8422,3699,40000
126,2229,4811,25000
127,15826,3396,10000
128,3917,4968,10000
129,3043,4558,15000
130,3062,6387,5000
131,2676,4118,10000
132,4323,4550,10000
133,5826,4114,15000
134,2947,6235,5000
135,1423,3436,10000
136,2850,4058,10000
137,2319,5063,10000
138,4439,2991,10000
139,2678,4183,35000
140,1593,2684,10000
141,408,4024,5000
142,5037,4567,25000
143,695,2150,25000
144,5006,3173,25000
145,232,2819,5000
146,2746,3980,15000
147,6370,5124,40000
148,416,3189,40000
149,6085,7169,40000
150,1467,4125,5000
151,3473,3308,20000
152,1642,4044,35000
153,5638,5928,15000
154,4522,5515,15000
155,1286,3837,5000
156,4354,5539,15000
157,1747,9947,35000
158,2186,3531,15000
159,9022,3473,20000
160,2544,4585,10000
161,2948,6196,35000
162,4140,3397,15000
163,50,3081,10000
164,113,2438,5000
165,281,4885,5000
166,8182,3605,40000
167,432,3756,5000
168,639,2448,20000
169,2140,5009,5000
170,592,3763,15000
171,969,3886,10000
172,1316,4681,20000
173,14109,4687,40000
174,473,3701,0
175,105,3136,10000
176,340,3019,5000
177,20,5095,5000
178,509,5053,40000
179,50,3201,5000
180,324,2235,15000
181,3173,3281,5000
182,830,3491,15000
183,169,3214,10000
184,280,3383,40000
185,880,2587,5000
186,98,2576,0
187,5463,3700,40000
188,3058,4124,10000
189,4686,6695,20000
190,3292,4781,10000
191,474,5934,30000
192,4441,3098,30000
193,20,6039,5000
194,1944,5028,20000
195,2642,5709,30000
196,3236,4780,20000
197,1375,4298,10000
198,2263,3691,5000
199,5150,5322,10000
200,5110,4980,10000
201,5933,4623,15000
202,3189,5695,5000
203,2320,4591,5000
204,3886,6204,35000
205,3625,5390,15000
206,5436,3993,10000
207,6379,6908,15000
208,4567,7211,10000
209,6721,5371,20000
210,1685,3414,5000
211,1441,2985,25000
212,1963,4105,15000
213,14912,4244,15000
214,346,4133,40000
215,3522,4356,40000
216,3637,3399,20000
217,1734,4268,20000
218,2127,3706,20000
219,1953,3314,20000
220,3202,4238,15000
221,2496,4806,15000
222,1454,4589,15000
223,1369,4565,5000
224,6907,4941,40000
225,3357,4237,10000
226,10890,5403,40000
227,6062,5808,10000
228,2491,6489,35000
229,1520,3259,15000
230,6403,3855,5000
231,1600,3753,15000
232,3093,5244,10000
233,2226,4339,15000
234,2161,3474,0
235,1714,3740,15000
236,8210,4308,40000
237,892,4192,5000
238,1230,2995,5000
239,1958,3216,10000
240,2823,4757,5000
241,2429,2688,5000
242,4611,3834,25000
243,1610,3828,5000
244,5871,3914,20000
245,1177,4071,10000
246,1453,2887,15000
247,1795,3279,10000
248,1810,2943,5000
249,3267,2988,15000
250,3670,5406,35000
251,1764,3524,40000
252,508,4205,5000
253,1184,3910,10000
254,9473,3396,15000
255,15471,3977,25000
256,1950,3854,15000
257,1628,3868,5000
258,2292,4934,20000
259,1929,4181,15000
260,977,2834,5000
261,1550,3623,10000
262,1875,4149,10000
263,3227,3451,10000
264,1655,3388,10000
265,2437,4121,5000
266,3357,4723,25000
267,384,3788,5000
268,3172,5561,15000
269,3356,4290,40000
270,2620,4903,10000
271,2077,5363,10000
272,2859,4905,15000
273,3562,4695,15000
274,1818,5297,10000
275,4401,5650,15000
276,2983,5291,35000
277,3107,4964,5000
278,5111,4206,15000
279,3841,4329,5000
280,6811,7377,10000
281,3297,3509,5000
282,2345,5709,35000
283,3506,5402,25000
284,3279,5550,5000
285,6526,5039,20000
286,739,4259,5000
287,4199,5169,10000
288,4204,6072,10000
289,3587,5196,15000
290,3306,4963,10000
291,3711,3875,35000
292,2323,3981,10000
293,1616,3400,15000
294,2453,4050,10000
295,2599,3440,20000
296,2236,3459,10000
297,2388,2997,10000
298,877,1796,5000
299,2905,2911,5000
300,911,4831,5000
301,1810,3247,20000
302,1890,4363,10000
303,3508,2231,15000
304,2826,4708,15000
305,1649,4807,10000
306,2165,3279,10000
307,2620,4365,5000
308,3781,4263,10000
309,2109,3489,30000
310,20,3193,0
311,854,4886,5000
312,2376,5214,35000
313,20,1576,5000
314,169,2351,10000
315,50,2705,0
316,50,3150,30000
317,457,2789,5000
318,3490,4291,35000
319,50,2717,5000
320,713,3134,15000
321,468,4575,5000
322,265,4173,15000
323,301,3057,5000
324,736,3430,10000
325,419,2707,10000
326,330,3560,5000
327,287,2862,5000
328,450,3060,5000
329,12724,3155,20000
330,240,3709,5000
331,759,3863,10000
332,50,2382,5000
333,643,5005,25000
334,162,4360,35000
335,2243,4634,40000
336,8141,3380,10000
337,692,2932,5000
338,822,4005,5000
339,390,3351,10000
340,107,2937,5000
341,50,2662,5000
342,170,3645,40000
343,3922,3342,10000
344,446,3502,10000
345,355,4425,5000
346,565,4423,30000
347,166,2091,10000
348,675,3876,30000
349,1479,3581,15000
350,1793,3204,10000
351,1434,3315,10000
352,973,4488,35000
353,1003,3417,15000
354,595,3637,10000
355,1006,3639,15000
356,702,2856,5000
357,675,2693,5000
358,126,1905,5000
359,1396,3506,20000
360,477,3191,5000
361,342,2560,10000
362,555,3929,5000
363,42,4463,10000
364,1334,5268,15000
365,919,3190,15000
366,951,4563,15000
367,1501,2822,15000
368,1060,4050,5000
369,391,3151,10000
370,672,2948,5000
371,223,2618,5000
372,326,2593,5000
373,1124,3739,30000
374,11168,3535,10000
375,1019,4582,10000
376,1096,4581,5000
377,2007,5136,15000
378,6156,5329,20000
379,665,3596,5000
380,310,2893,40000
381,717,3211,15000
382,229,3451,5000
383,507,2128,0
384,1513,2939,5000
385,832,4573,5000
386,1391,4384,0
387,807,3728,15000
388,6003,4693,40000
389,2886,3358,15000
390,6811,3892,15000
391,1746,4085,20000
392,2168,3284,5000
393,1759,4126,10000
394,2115,5207,5000
395,723,4548,10000
396,1260,2765,5000
397,3866,5149,20000
398,2371,3821,10000
399,3729,4616,40000
400,20,2179,10000
401,50,2967,10000
402,20,1273,5000
403,320,2190,15000
404,1006,4353,10000
405,1004,3371,10000
406,115,2698,5000
407,5005,5151,20000
408,120,2799,20000
409,2611,2465,15000
410,192,3230,5000
411,179,2560,20000
412,107,3654,40000
413,1321,2790,25000
414,50,3225,10000
415,362,4040,5000
416,3305,2597,5000
417,4761,3775,40000
418,309,2556,5000
419,9481,3982,40000
420,2800,3001,0
421,1897,4904,5000
422,2562,3977,20000
423,2209,3418,10000
