Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,9366,4187,20000
1,2229,2599,10000
2,175,2301,15000
3,262,1852,0
4,434,2630,0
5,975,2962,5000
6,1148,1839,15000
7,105,1889,5000
8,436,2318,5000
9,160,1324,0
10,463,3117,20000
11,248,1732,5000
12,50,1785,0
13,50,1671,5000
14,1042,3050,5000
15,208,396,10000
16,1256,1883,15000
17,730,2673,5000
18,1968,2284,5000
19,364,2360,15000
20,1862,3494,5000
21,11177,2781,5000
22,2352,2534,0
23,1764,4095,15000
24,311,1574,10000
25,50,1967,5000
26,298,1437,5000
27,1025,3023,0
28,14067,2460,20000
29,1576,3985,5000
30,1629,2848,15000
31,1671,4076,10000
32,910,2402,5000
33,327,2431,0
34,114,3206,5000
35,1635,3062,5000
36,15078,2270,20000
37,638,2995,10000
38,108,2072,10000
39,6984,2680,20000
40,619,3095,0
41,7248,1993,20000
42,336,1824,5000
43,387,3168,0
44,2511,2593,10000
45,106,1825,0
46,585,2830,10000
47,2057,2750,15000
48,1545,2812,15000
49,14378,2145,20000
50,1517,2956,5000
51,419,2753,0
52,569,2209,10000
53,831,2543,15000
54,1668,3159,15000
55,72,1655,5000
56,1495,2964,5000
57,3860,2192,5000
58,886,3130,0
59,1663,2503,10000
60,2304,3091,5000
61,110,1997,5000
62,1412,2992,10000
63,1329,3382,5000
64,894,1915,0
65,1420,2026,10000
66,1741,4160,10000
67,610,2058,5000
68,1926,2710,5000
69,1473,2012,5000
70,1874,2532,5000
71,20,1697,15000
72,719,1362,10000
73,905,1976,15000
74,2365,2752,5000
75,918,2109,5000
76,1774,2702,5000
77,2532,4031,10000
78,3731,3352,5000
79,1823,3407,0
80,3430,3031,10000
81,6405,3587,10000
82,50,1422,10000
83,844,2014,5000
84,1959,2599,10000
85,1636,1923,10000
86,2704,3378,5000
87,1647,2136,20000
88,4366,4180,5000
89,2906,3264,20000
90,3065,3319,15000
91,1653,3101,0
92,1005,3242,5000
93,1869,3284,20000
94,1560,2510,5000
95,2250,3188,0
96,1288,3191,10000
97,1075,2509,5000
98,20,3591,10000
99,1489,2717,0
100,1194,3442,15000
101,2523,3295,5000
102,2205,3170,5000
103,2730,2971,5000
104,1672,2961,10000
105,989,2954,10000
106,261,1678,5000
107,9960,2627,5000
108,4810,4073,10000
109,1280,2373,5000
110,908,1546,5000
111,82,3009,5000
112,1745,2407,10000
113,1126,2527,5000
114,6478,2107,20000
115,614,2913,10000
116,1243,3085,5000
117,562,2919,10000
118,2653,3878,10000
119,327,2097,10000
120,734,2969,5000
121,1410,3265,10000
122,5490,2916,15000
123,520,1565,10000
124,163,2435,10000
125,1952,2958,0
126,7618,2586,10000
127,172,2055,15000
128,1538,3277,15000
129,6769,2677,20000
130,413,4402,5000
131,1932,2880,15000
132,13448,2665,20000
133,2768,3388,0
134,1031,3654,5000
135,777,2509,15000
136,1614,2784,15000
137,6710,1685,20000
138,1098,3054,5000
139,1693,1608,5000
140,351,1130,0
141,356,2401,0
142,4968,2953,20000
143,569,2890,10000
144,280,1247,5000
145,468,2497,5000
146,1429,3211,20000
147,697,1881,10000
148,634,3996,10000
149,747,2398,0
150,50,2305,10000
151,1299,2877,10000
152,1227,3281,15000
153,670,2427,5000
154,944,2763,15000
155,839,2099,5000
156,11428,2979,20000
157,289,2363,5000
158,3971,2829,5000
159,2480,2854,0
160,7514,2324,20000
161,3347,3491,20000
162,1479,3627,0
163,1687,3031,0
164,113,1965,15000
165,747,3099,10000
166,380,1581,0
167,4757,3456,10000
168,50,1363,5000
169,107,2987,5000
170,1870,3037,5000
171,279,2005,5000
172,1466,3831,15000
173,13782,2852,20000
174,869,3401,0
175,230,2033,5000
176,964,2641,0
177,210,3790,0
178,395,2002,20000
179,50,1445,5000
180,167,2014,20000
181,50,1955,15000
182,8991,1436,20000
183,106,3098,0
184,10101,1772,20000
185,539,1223,15000
186,144,1884,5000
187,857,3008,0
188,115,1776,5000
189,14154,1603,20000
190,548,2339,5000
191,187,1537,5000
192,888,1786,20000
193,20,1394,5000
194,234,2909,5000
195,123,1960,10000
196,13877,2942,10000
197,1625,3384,20000
198,480,1567,0
199,1092,4482,20000
200,231,2800,15000
201,960,1845,15000
202,503,2269,0
203,3049,2860,10000
204,226,2530,5000
205,113,2040,5000
206,8001,2385,15000
207,3976,5665,10000
208,751,1528,20000
209,8488,2951,20000
210,1161,1741,0
