Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,8608,4174,20000
1,2519,3512,5000
2,6244,2763,5000
3,1045,3369,5000
4,6101,3516,15000
5,8838,3605,20000
6,4838,4335,5000
7,3035,2423,10000
8,117,2601,15000
9,3733,4475,5000
10,2683,2887,5000
11,1137,2887,5000
12,5443,6292,10000
13,3099,3269,0
14,1732,3240,5000
15,302,3544,10000
16,3677,2136,20000
17,3343,4257,20000
18,4281,4619,10000
19,1778,3768,5000
20,208,4263,5000
21,294,2791,5000
22,513,3174,15000
23,1864,3668,15000
24,1174,2777,10000
25,50,2566,0
26,895,2505,5000
27,170,2663,20000
28,9822,2050,20000
29,8839,2495,20000
30,7859,2557,20000
31,13131,3150,20000
32,1065,2758,5000
33,1124,2464,10000
34,1648,1944,5000
35,2403,2657,5000
36,1666,3283,15000
37,1416,2076,15000
38,1415,2073,0
39,1334,3640,10000
40,10850,1480,20000
41,449,2208,5000
42,976,1827,20000
43,1512,3267,0
44,2261,3049,20000
45,500,2262,0
46,1314,2267,10000
47,2368,2333,5000
48,1726,3179,15000
49,2085,3355,5000
50,1387,3378,10000
51,363,2373,10000
52,92,3200,5000
53,50,1949,5000
54,865,3662,0
55,20,1596,5000
56,232,2359,5000
57,106,1970,20000
58,272,1687,5000
59,2754,3737,0
60,208,2760,20000
61,231,2792,5000
62,450,2589,20000
63,50,2025,10000
64,234,2665,5000
65,176,1686,5000
66,162,1875,0
67,95,1660,10000
68,50,2545,5000
69,296,1797,10000
70,677,2984,10000
71,20,2250,5000
72,387,1322,5000
73,203,1510,5000
74,631,3146,20000
75,20,1348,5000
76,974,3109,0
77,1391,3010,0
78,90,1603,0
79,556,3433,0
80,1302,2729,0
81,110,2754,0
82,2186,1268,20000
83,234,1732,5000
84,843,3055,20000
85,302,1930,5000
86,286,2244,10000
87,314,1648,5000
88,1517,3657,5000
89,1636,2276,15000
90,5845,1277,20000
91,20,2561,5000
92,168,2721,10000
93,713,2330,5000
94,313,2255,10000
95,134,1893,5000
96,10973,2612,20000
97,319,2973,0
98,20,3395,0
99,905,2944,10000
100,123,1321,10000
101,752,2313,10000
102,109,2390,10000
103,454,2625,10000
104,238,2669,10000
105,281,1526,15000
106,50,1464,5000
107,247,1766,20000
108,566,3422,0
109,2220,4008,5000
110,287,1809,10000
111,50,1843,5000
112,1447,2957,15000
113,168,2386,10000
114,571,2613,5000
115,117,2581,5000
116,1425,2557,10000
117,2960,2348,20000
118,111,2220,15000
119,5321,1606,5000
120,50,1499,5000
121,927,3054,5000
122,353,3336,10000
123,634,2446,5000
124,447,3030,10000
125,1211,2497,10000
126,402,2128,0
127,13000,3627,15000
128,721,2221,15000
129,315,1706,5000
130,4611,2619,20000
131,1043,1791,15000
132,13060,3216,20000
133,50,2053,5000
134,50,3318,0
135,247,2507,20000
136,903,2317,20000
137,247,1845,5000
138,4352,3270,5000
139,1113,2047,10000
140,1089,2685,0
141,251,2577,0
142,873,3737,5000
143,1045,1564,20000
144,1696,1872,10000
145,631,2988,15000
146,1909,3271,5000
147,2388,2571,5000
148,3310,3881,10000
149,6357,2292,20000
150,1424,3891,15000
151,1936,2812,5000
152,1494,2563,5000
153,5574,4880,0
154,2928,4006,10000
155,1031,2412,15000
156,3043,3438,0
157,679,2810,0
158,2172,2796,0
159,1883,1898,5000
160,1705,3886,10000
161,3458,3225,15000
162,2183,3132,0
163,1177,2370,5000
164,1341,2646,10000
165,246,3086,0
166,1597,2715,5000
167,2882,3405,10000
168,758,1887,15000
169,1807,3530,10000
170,1692,2815,5000
171,11252,2740,20000
172,4251,2685,10000
173,116,1988,5000
174,50,2108,15000
175,255,3826,10000
176,340,2256,10000
177,20,2545,10000
178,112,2385,20000
179,50,1351,0
180,680,2225,5000
181,294,3142,5000
182,8291,2311,5000
183,113,2020,15000
184,8210,1964,20000
185,817,1460,15000
186,49,636,15000
187,122,1800,0
188,163,1803,5000
189,1225,2697,10000
190,224,2733,0
191,535,1622,10000
192,491,2147,20000
193,20,3397,10000
194,229,1899,15000
195,10772,2145,15000
196,186,2630,5000
197,4556,1798,20000
198,50,1628,5000
199,1783,3240,15000
200,1613,4102,0
201,1938,2675,15000
202,198,1855,0
203,582,2723,10000
204,744,2461,5000
205,2738,3126,10000
206,7875,2875,5000
207,422,3110,0
208,454,1922,20000
209,1593,2935,20000
210,4874,2543,15000
211,1172,2609,5000
212,2039,2932,15000
213,8184,3048,20000
214,1716,3285,0
215,13086,1341,20000
216,108,1752,5000
217,236,1556,5000
218,20,1606,10000
219,171,2270,10000
220,473,2185,0
221,383,3510,15000
222,50,2950,0
223,50,2090,5000
224,539,3246,10000
225,417,1576,5000
226,5708,2931,20000
227,1748,2734,20000
228,542,2533,5000
229,6705,1850,15000
230,287,2264,15000
231,112,2677,5000
232,12968,1634,20000
233,953,3311,10000
234,518,3621,20000
235,416,2310,10000
236,8917,2279,20000
237,184,2029,10000
238,427,2356,10000
239,50,1172,20000
240,2592,3601,5000
241,350,2760,5000
242,10469,2615,20000
243,237,1966,10000
244,1685,3175,20000
245,50,2792,0
246,1260,2608,10000
247,385,1552,5000
248,588,2360,0
249,484,2040,5000
250,2543,3664,0
251,722,1697,0
252,751,2652,5000
253,775,3116,15000
254,107,1486,15000
255,1409,2717,10000
256,950,2767,20000
257,1556,2295,10000
258,831,2986,10000
259,599,2795,0
260,509,1131,5000
261,821,1351,10000
262,742,2332,10000
263,1024,3450,15000
264,1753,2241,10000
265,860,2814,5000
266,783,1865,10000
267,824,2191,10000
268,618,2505,0
269,1754,2215,10000
270,877,2488,10000
271,650,3116,10000
272,9379,1634,20000
273,1130,3462,20000
274,243,2228,0
275,2953,3655,10000
276,50,2347,5000
277,2216,3379,5000
278,1937,2783,0
279,316,2498,20000
280,5112,5110,10000
281,528,2059,10000
282,677,3607,5000
283,607,2520,15000
284,20,1141,10000
285,1222,3547,0
286,50,1817,0
287,1414,2571,15000
288,554,2622,0
289,185,1632,15000
290,186,1729,0
291,401,1726,15000
292,7890,2402,20000
293,557,1813,10000
294,235,1705,15000
295,1362,2118,10000
296,114,1671,0
297,50,1622,15000
298,877,1472,10000
299,795,2451,5000
300,50,1920,5000
301,961,2322,0
302,177,2568,0
303,70,1592,10000
304,163,3025,20000
305,50,1730,5000
306,50,1992,0
307,300,2130,5000
308,50,1833,5000
309,1030,3390,5000
310,20,1320,5000
311,608,2235,0
312,123,1818,0
313,45,1056,15000
314,169,2017,5000
315,1000,2276,5000
316,50,1816,5000
317,4935,1633,20000
318,2403,3035,5000
319,5825,2492,15000
320,1599,2194,5000
321,3231,2912,5000
322,1765,4294,5000
323,2589,3542,10000
324,1490,3255,0
325,2900,2088,5000
326,106,2833,15000
327,9853,2730,20000
328,8060,2466,20000
329,1020,2120,5000
330,1120,2487,5000
331,1232,3629,5000
332,214,1550,0
333,260,3078,20000
334,2613,3033,5000
335,2628,2075,5000
336,750,2610,20000
337,2082,2505,15000
338,4883,2876,10000
339,2666,2136,10000
340,941,2393,15000
341,1414,3618,0
342,938,2212,0
343,2938,2989,10000
344,1480,1660,20000
345,3128,3530,0
346,2566,2914,15000
347,1601,1682,5000
348,1493,4586,0
349,2001,2679,15000
350,6203,2100,10000
351,2108,2170,5000
352,1892,3470,15000
353,4587,4963,15000
354,1036,2762,5000
355,717,2331,20000
356,628,2059,5000
357,439,1835,5000
358,239,1418,0
359,2179,3750,10000
360,886,1387,10000
361,1531,2681,10000
362,1623,4081,5000
363,42,2468,5000
364,2145,3468,15000
365,5617,2363,20000
366,1829,2847,10000
367,2084,1339,0
368,1470,2594,5000
369,2804,2819,10000
370,1001,2681,15000
371,223,3123,20000
372,1003,2517,0
373,2248,2713,15000
374,2824,3447,15000
375,1070,2779,0
376,1915,2780,5000
377,1412,2951,0
378,1055,3233,20000
379,448,3226,15000
380,333,2707,0
381,1985,2841,15000
382,952,2474,10000
383,1673,3680,10000
384,1633,2408,10000
385,2039,3354,10000
386,264,2155,15000
387,628,1821,5000
388,50,1802,10000
389,722,1737,15000
390,2322,2960,15000
391,2410,3024,20000
392,280,2246,10000
393,1277,2360,0
394,736,2506,0
395,2240,3091,10000
396,300,1761,10000
397,1003,3295,5000
398,50,2285,5000
399,3602,3024,20000
400,20,1522,5000
401,107,1836,15000
402,20,882,15000
403,171,1570,15000
404,519,2538,0
405,158,1954,5000
406,50,1347,15000
407,9874,2656,20000
408,120,2508,0
409,1159,2790,15000
410,114,2059,5000
411,1015,2552,20000
412,175,2270,5000
413,2238,2326,10000
414,880,3126,15000
415,50,1886,5000
416,1797,3319,10000
417,6700,3040,20000
418,176,2769,10000
419,2368,2344,10000
420,1790,2490,5000
421,5576,3475,10000
422,2989,2594,20000
423,6166,2647,20000
424,2312,2898,5000
425,1684,2525,5000
426,20,3606,0
427,4486,3723,15000
428,1436,3071,10000
429,2619,3438,0
430,846,3260,5000
431,1759,4405,0
432,2103,3210,5000
433,2314,2892,10000
434,1784,3007,10000
435,3219,2572,10000
436,3072,4032,5000
437,2694,3145,0
438,4919,2752,20000
439,2028,3190,10000
440,1922,2442,10000
441,1529,2592,5000
442,171,2451,5000
443,50,1009,5000
444,6229,2974,20000
445,2978,2443,5000
446,2733,3236,10000
447,2777,4426,20000
448,2342,2280,20000
449,3039,3742,5000
450,691,3343,5000
451,1651,2670,0
452,292,2172,0
453,6320,3137,10000
454,5992,3527,15000
455,3065,2994,5000
456,4259,2590,20000
457,2980,3235,0
458,1793,1337,10000
459,2048,3501,15000
460,2108,2706,5000
461,1485,2127,5000
462,1980,3378,15000
463,1311,2982,10000
464,222,1962,0
465,748,1926,0
466,843,2562,15000
467,20,1725,0
468,530,1363,10000
469,770,2968,20000
470,789,2402,0
471,670,4217,10000
472,239,2120,5000
473,794,2529,5000
474,819,2781,15000
475,1308,2560,20000
476,185,1582,5000
477,1034,4112,10000
478,1472,3517,5000
479,782,2615,0
480,6512,2958,20000
481,983,2983,10000
482,2146,2828,20000
483,883,2686,20000
484,834,3207,5000
485,293,1289,5000
486,916,2630,5000
487,282,2175,5000
488,1993,3639,0
489,668,2588,10000
490,468,2431,10000
491,540,2752,5000
492,175,2409,10000
493,197,2045,10000
494,2196,2391,15000
495,977,2203,15000
496,50,1515,0
497,398,2129,0
498,910,2946,15000
499,3268,2809,15000
500,3836,2893,20000
501,4955,1636,10000
502,2939,3265,20000
503,13060,993,20000
504,225,1407,20000
505,1010,2094,10000
506,3948,2862,15000
507,1146,2246,15000
508,2557,2691,5000
509,6369,3287,15000
510,915,2006,0
511,3701,3115,15000
512,138,2440,5000
513,623,1506,0
514,2318,3456,10000
515,2682,2411,0
516,243,2877,5000
517,943,2653,0
518,2439,3351,5000
519,947,2691,15000
520,783,2994,5000
521,2215,1799,0
522,1729,1592,0
523,1311,3621,5000
524,1428,2537,5000
525,2124,3565,10000
526,1171,2346,20000
527,1578,2616,15000
528,1312,2335,5000
529,1346,2569,15000
530,1228,2632,20000
531,2448,3141,10000
532,53,2381,0
533,1482,2609,5000
534,5428,2712,5000
535,20,2917,10000
536,2275,2161,20000
537,536,2924,5000
538,1217,1185,20000
539,1966,2831,5000
540,1468,1986,15000
541,1656,2515,0
542,1677,2304,15000
543,1108,4437,15000
544,1556,3595,0
545,957,1993,0
546,1104,1718,20000
547,43,2254,0
548,3182,2672,5000
549,2349,2568,10000
550,977,1628,10000
551,3363,3115,20000
552,1598,2441,10000
553,6812,2162,10000
554,2236,2346,10000
555,1270,2178,10000
556,1344,3340,15000
557,4131,3465,10000
558,3261,2766,5000
559,1368,3052,5000
560,452,1406,5000
561,6911,3223,15000
562,5333,4782,10000
563,6940,4391,5000
564,1506,4022,5000
565,1636,2002,10000
566,1610,3145,0
567,3239,5563,0
568,1274,3103,0
569,2065,3494,5000
