Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,1328,3326,10000
1,2316,3132,10000
2,3074,4010,0
3,847,2220,20000
4,1599,2627,15000
5,3192,3449,15000
6,2003,2174,10000
7,1226,2115,0
8,2143,2810,10000
9,1082,1703,10000
10,1552,2783,0
11,1455,1892,5000
12,3100,3385,15000
13,3765,2742,20000
14,1879,2865,5000
15,51,539,5000
16,601,1894,20000
17,1323,2219,10000
18,8922,1619,5000
19,464,1997,15000
20,954,4380,10000
21,379,2025,0
22,289,2888,15000
23,3012,4148,15000
24,132,2032,10000
25,50,1991,5000
26,964,1574,5000
27,825,2776,0
28,14502,2130,20000
29,8386,2785,20000
30,112,2545,5000
31,3499,3290,20000
32,1200,2276,10000
33,126,1705,5000
34,639,2389,15000
35,10291,2839,20000
36,13652,3394,20000
37,2143,2516,15000
38,354,2369,0
39,503,2923,10000
40,546,1861,5000
41,50,1638,5000
42,2042,2458,5000
43,465,1948,10000
44,1343,2836,15000
45,175,1942,10000
46,218,2221,5000
47,50,2226,5000
48,4091,2842,20000
49,359,2326,10000
50,107,2142,10000
51,50,1407,0
52,50,1997,5000
53,5145,3299,10000
54,14224,2653,20000
55,20,1635,15000
56,200,2234,10000
57,50,2587,5000
58,111,1492,10000
59,243,2298,15000
60,108,2694,20000
61,50,1949,10000
62,5595,3081,20000
63,8400,1615,20000
64,50,1445,20000
65,450,2329,20000
66,1872,3859,15000
67,6040,1496,20000
68,3357,3403,5000
69,122,1544,5000
70,282,2862,10000
71,20,1471,15000
72,50,1077,0
73,50,1575,5000
74,6005,1623,15000
75,266,1089,10000
76,234,2064,5000
77,214,2871,15000
78,9345,2349,20000
79,50,1031,5000
80,251,3814,0
81,1764,2758,5000
82,576,2110,10000
83,234,1804,0
84,162,1940,20000
85,5456,2585,20000
86,526,3113,20000
87,363,1730,0
88,50,2600,5000
89,804,2102,0
90,847,2834,10000
91,1761,3177,10000
92,1074,3358,10000
93,4442,1662,20000
94,1304,2956,5000
95,1002,2506,0
96,10697,2247,10000
97,184,1519,5000
98,20,3318,5000
99,813,1991,0
100,597,2221,10000
101,3744,2966,10000
102,932,2685,5000
103,1037,2625,0
104,771,2168,5000
105,748,3036,5000
106,279,2215,10000
107,10057,2395,5000
108,2475,2767,10000
109,494,3130,5000
110,555,2032,15000
111,82,2322,15000
112,1614,4511,15000
113,522,3208,5000
114,3151,2585,15000
115,1262,3479,0
116,2066,2849,15000
117,1699,2609,15000
118,3748,4328,15000
119,1878,3068,5000
120,3259,3307,10000
121,943,2885,0
122,964,3801,10000
123,455,1955,5000
124,1270,3457,20000
125,905,2418,0
126,420,1364,5000
127,1788,3492,5000
128,976,1510,10000
129,11915,2286,15000
130,578,3010,10000
131,1021,2115,0
132,1237,1979,10000
133,1233,2468,5000
134,294,2171,10000
135,508,2395,5000
136,1033,2556,0
137,612,1875,15000
138,457,2476,0
139,1240,2499,5000
140,542,2234,10000
141,408,2410,0
142,3529,3038,10000
143,2247,2884,5000
144,316,1767,15000
145,11381,3006,10000
146,3225,3547,15000
147,5478,3124,15000
148,2405,3679,5000
149,919,2384,5000
150,719,3620,5000
151,1369,1869,0
152,2150,3363,15000
153,2973,4511,10000
154,1444,3458,0
155,374,2194,20000
156,1764,4098,20000
157,735,2970,0
158,1568,2376,5000
159,1869,2945,5000
160,1876,2739,0
161,3228,3271,10000
162,450,2715,10000
163,253,1760,5000
164,179,1179,0
165,280,1989,20000
166,737,2055,15000
167,595,3409,15000
168,431,1959,0
169,920,3416,5000
170,762,2722,15000
171,634,2061,5000
172,692,3011,0
173,740,3130,0
174,662,1877,5000
175,585,3584,5000
176,4543,3872,20000
177,210,3880,0
178,880,2788,5000
179,418,1716,0
180,797,1744,5000
181,2419,3603,10000
182,968,2662,0
183,6338,3015,10000
184,685,2284,10000
185,1444,1426,10000
186,98,694,10000
187,1635,1902,10000
188,924,2990,10000
189,579,1916,15000
190,755,3039,5000
191,826,1607,10000
192,1967,2157,10000
193,20,3648,10000
194,111,1711,5000
195,1075,2950,5000
196,8016,2495,10000
197,1125,1638,10000
198,841,1767,5000
199,7302,3094,20000
200,938,3238,0
201,1435,2796,5000
202,685,2522,0
203,1248,2375,20000
204,2163,4954,5000
205,6119,5112,10000
206,6969,2005,20000
207,1188,3750,0
208,459,1806,15000
209,892,2976,0
210,663,2195,15000
211,757,2382,15000
212,683,2355,5000
213,852,2530,15000
214,1511,3223,0
215,11666,2080,20000
216,825,2651,5000
217,476,2189,10000
218,918,2199,10000
219,1276,4035,5000
220,868,2410,5000
221,548,2555,5000
222,235,2409,10000
223,817,3732,5000
224,958,2615,10000
225,875,2351,10000
226,1577,3074,20000
227,11735,2642,20000
228,737,2962,5000
229,1068,1795,10000
230,4976,4057,10000
231,748,2608,10000
232,1429,3613,5000
233,1775,3058,10000
234,897,2687,0
235,713,2075,10000
236,8954,1834,20000
237,445,2322,15000
238,323,1643,5000
239,973,1078,5000
240,871,2491,0
241,2396,2887,0
242,757,3086,15000
243,50,1730,5000
244,438,3150,10000
245,50,1675,0
246,678,1953,10000
247,494,2352,5000
248,113,1235,5000
249,1043,2221,10000
250,1301,2664,0
251,477,2261,10000
252,632,2499,5000
253,390,1950,15000
254,271,2286,5000
255,184,2277,5000
256,291,2163,5000
257,1031,2462,5000
258,1011,3119,15000
259,493,2692,5000
260,513,1173,5000
261,644,1576,10000
262,569,2433,5000
263,460,1915,15000
264,626,2339,10000
265,477,2437,20000
266,333,1645,5000
267,773,1991,5000
268,1273,3455,0
269,567,2261,10000
270,1196,2346,0
271,508,1461,5000
272,505,1712,5000
273,620,2394,10000
274,1019,1929,5000
275,2731,4072,10000
276,50,2752,0
277,805,1873,15000
278,1002,2323,15000
279,1582,3482,5000
280,1537,3710,10000
281,707,2449,15000
282,224,1749,5000
283,6047,3030,5000
284,8701,2149,20000
285,12115,3003,10000
286,241,2125,10000
287,642,2676,5000
288,603,2677,0
289,115,2191,0
290,1358,1968,10000
291,228,1749,10000
292,8314,2378,20000
293,300,1906,5000
294,920,2219,0
295,50,2380,15000
296,50,959,10000
297,50,1551,15000
298,735,980,0
299,2005,2492,5000
300,492,3532,5000
301,1154,1834,0
302,131,2679,5000
303,439,1419,20000
304,1031,2907,20000
305,1658,2321,0
306,1387,2175,0
307,2643,4078,5000
308,936,2312,5000
309,8877,1936,20000
310,20,860,0
311,1778,2666,10000
312,174,2405,20000
313,20,1756,10000
314,118,2452,5000
315,116,1852,5000
316,8681,1634,20000
317,233,1674,5000
318,2614,3101,10000
319,797,2425,15000
320,298,2938,5000
321,1024,2658,20000
322,50,2754,5000
323,508,1328,5000
324,13529,2470,10000
325,5521,1926,5000
326,9390,2521,20000
327,11850,2705,20000
328,7122,2250,20000
329,116,1435,0
330,475,1882,10000
331,350,2595,10000
332,182,1106,10000
333,10095,4857,15000
334,50,2011,5000
335,50,1460,5000
336,134,1893,5000
337,966,3187,0
338,106,2385,10000
339,50,2010,0
340,20,1654,5000
341,50,2319,15000
342,285,2738,20000
343,139,1781,5000
344,336,1770,5000
345,1376,3280,5000
346,229,2292,5000
347,487,1298,5000
348,898,3045,20000
349,6241,1993,20000
350,632,2338,5000
351,1321,2770,15000
352,2324,4312,10000
353,4411,3881,15000
354,1286,2332,15000
355,1081,2832,20000
356,8856,3550,20000
357,948,1778,5000
358,288,1923,5000
359,4226,3546,10000
360,1560,2923,5000
361,2702,2496,10000
362,1909,3846,0
363,42,2827,10000
364,2300,3055,15000
365,2883,2483,15000
366,1278,3318,0
367,2206,2563,0
368,1761,3278,0
369,221,2210,10000
370,1728,2554,10000
371,223,4374,0
372,50,2345,10000
373,3546,2554,15000
374,1823,2705,10000
375,1289,2776,0
376,1089,2640,5000
377,3049,3157,10000
378,2975,3560,0
379,2129,3005,10000
380,2889,3899,0
381,2348,3600,15000
382,888,2894,5000
383,1222,1909,5000
384,2748,1862,10000
385,2407,4518,5000
386,2248,3447,5000
387,1767,2737,5000
388,2994,2608,10000
389,1666,2011,0
390,2125,3639,0
391,1889,2594,15000
392,2168,2491,5000
393,2204,2275,5000
394,1382,2909,0
395,1532,2054,10000
396,1428,2305,10000
397,4324,2775,10000
398,3082,3069,5000
399,1627,3016,5000
400,46,2373,5000
401,1309,3482,5000
402,322,1654,5000
403,1985,2600,15000
404,50,2604,15000
405,577,2180,15000
406,50,1612,15000
407,2618,4022,5000
408,106,1959,5000
409,483,2020,15000
410,3055,3959,10000
411,929,2312,10000
412,2848,3395,5000
413,2929,3225,10000
414,2805,3270,0
415,4883,4739,5000
416,1281,2626,20000
417,2313,2730,15000
418,1272,2247,15000
419,4054,3961,5000
420,3319,3462,10000
421,3626,3627,5000
422,2801,2928,10000
423,4502,2884,10000
424,1822,2995,5000
425,2221,2517,5000
426,20,2949,10000
427,5153,4415,20000
428,1546,3342,15000
429,3503,2824,10000
430,1046,3696,0
431,2333,3295,0
432,2663,4172,0
433,2836,3980,5000
434,3242,3567,5000
435,9630,2438,20000
436,3013,3415,5000
437,2395,3445,5000
438,5242,2044,20000
439,1253,2899,10000
440,1432,2446,5000
441,1227,1652,5000
442,2088,2451,10000
443,50,2441,10000
444,1173,2550,0
445,2958,4274,5000
446,8159,2662,15000
447,3452,4261,5000
448,3411,3138,10000
449,3966,4201,5000
450,1380,3138,10000
451,2913,2716,0
452,292,1897,5000
453,3836,4155,15000
454,6249,3636,5000
455,3461,3078,5000
456,2493,3303,5000
457,3944,3305,10000
458,1852,2028,5000
459,2588,2643,5000
460,1934,2488,0
461,6437,1971,15000
462,4603,4095,15000
463,1771,3298,0
464,903,3017,5000
465,1802,2976,0
466,4186,3377,10000
467,20,3061,0
468,1386,2117,5000
469,3093,3156,10000
470,2471,3165,0
471,1958,3930,5000
472,2680,3337,5000
473,3604,3530,15000
474,2372,3260,10000
475,2348,2060,5000
476,1110,2783,10000
477,1514,4510,0
478,3581,2995,15000
479,3069,3311,5000
480,3191,3812,10000
481,1571,2574,5000
482,6144,2094,20000
483,6633,4529,10000
484,2015,2318,5000
485,1445,2607,15000
486,1333,1933,15000
