Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,11616,2404,5000
1,2683,2253,0
2,6289,1392,5000
3,2301,1861,0
4,4550,1753,5000
5,3485,2199,0
6,3736,1732,0
7,4052,822,5000
8,2204,1634,0
9,1520,1634,0
10,2475,1438,0
11,5273,915,5000
12,8811,1931,5000
13,2979,1190,5000
14,2277,1815,0
15,254,547,5000
16,1871,875,0
17,6703,1217,5000
18,9115,152,5000
19,2034,2112,0
20,3920,1999,0
21,3180,1800,0
22,5714,1504,5000
23,5302,1783,5000
24,2565,2142,0
25,50,1531,0
26,7014,390,5000
27,5112,319,5000
28,10403,1931,5000
29,3961,1935,0
30,7257,1824,5000
31,13271,1410,5000
32,1787,1460,0
33,1542,1114,0
34,1624,1584,0
35,3171,2029,5000
36,3499,2174,0
37,2722,1570,0
38,2533,1683,0
39,2394,1695,0
40,11041,435,5000
41,5877,820,5000
42,2210,1201,0
43,2261,1698,0
44,1862,1430,0
45,1188,869,0
46,1801,597,5000
47,2049,1675,5000
48,3414,1511,0
49,15168,330,5000
50,2196,1848,0
51,475,1789,0
52,1397,1625,0
53,1223,1786,0
54,3690,2109,0
55,8610,1220,5000
56,5698,1146,5000
57,6362,786,5000
58,1335,1217,0
59,12537,771,5000
60,12945,997,5000
61,904,1300,0
62,3032,1630,0
63,1814,1555,0
64,11512,200,5000
65,2471,795,0
66,9552,1273,5000
67,333,932,0
68,18286,380,5000
69,1889,1428,0
70,945,1444,0
71,20,988,0
72,434,668,0
73,406,751,0
74,11054,762,5000
75,333,681,5000
76,628,891,0
77,12292,655,5000
78,597,1292,0
79,5324,691,5000
80,681,1296,0
81,11119,1138,5000
82,334,712,5000
83,2815,297,5000
84,13509,787,5000
85,764,1146,0
86,866,1492,0
87,1023,722,5000
88,9410,1655,5000
89,586,1304,0
90,915,1148,0
91,1622,1858,5000
92,1339,1149,5000
93,828,991,5000
94,7316,1019,5000
95,4951,601,5000
96,399,957,0
97,1611,1857,0
98,20,1594,0
99,649,1076,0
100,1989,1777,0
101,10616,859,5000
102,17042,1785,5000
