Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,1155.4,710.7,0.0
1,868.8,803.3,0.0
2,3222.9,1413.1,1500.0
3,799.2,879.3,0.0
4,4807.8,1012.4,1500.0
5,1403.7,1058.6,0.0
6,585.4,848.7,0.0
7,752.1,668.6,500.0
8,1474.2,1138.4,500.0
9,9712.8,1129.6,5000.0
10,1305.8,1060.6,0.0
11,1467.0,1392.2,0.0
12,617.4,941.1,0.0
13,806.5,385.6,0.0
14,1358.0,1481.0,0.0
15,1383.8,1230.8,0.0
16,227.7,951.9,0.0
17,788.1,778.3,0.0
18,4103.7,1209.7,4500.0
19,574.8,1018.1,0.0
20,678.1,880.4,0.0
21,1356.1,842.6,0.0
22,1130.4,724.6,0.0
23,771.2,1511.9,0.0
24,1816.7,1167.8,1500.0
25,2985.1,1479.5,2500.0
26,964.0,1156.8,0.0
27,1512.8,1223.2,0.0
28,921.7,1130.0,0.0
29,1176.6,1157.9,2500.0
30,6807.5,1303.5,5000.0
31,8199.8,1360.5,4000.0
32,53.0,839.9,0.0
33,664.4,1271.9,500.0
34,548.2,711.2,0.0
35,20.0,1029.0,0.0
36,3016.5,1016.6,1500.0
37,508.6,852.5,0.0
38,725.1,806.7,0.0
39,4655.3,1308.7,1500.0
40,1091.0,1049.7,0.0
41,588.8,1117.5,0.0
42,790.3,964.4,0.0
43,2524.7,1451.0,2000.0
44,10449.9,1270.8,5000.0
45,703.8,630.0,0.0
46,928.9,487.1,0.0
47,43.0,493.0,0.0
48,4405.2,1302.3,3000.0
49,3504.5,1251.6,5000.0
