Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,6941,3775,5000
1,9843,1800,10000
2,3383,2485,5000
3,1224,1789,0
4,4921,2320,10000
5,10848,1295,10000
6,2026,2219,5000
7,4651,937,10000
8,9838,1274,10000
9,4268,1211,10000
10,2054,1574,10000
11,3658,1370,10000
12,13420,775,10000
13,1524,1575,0
14,1466,1839,5000
15,302,1875,5000
16,1414,957,5000
17,3296,3547,0
18,2068,2824,5000
19,1578,1610,0
20,2783,2468,5000
21,12575,1197,10000
22,2758,1765,0
23,3266,2135,5000
24,529,2102,5000
25,50,2477,0
26,227,1828,0
27,4261,1304,10000
28,9289,3131,10000
29,8126,1725,10000
30,3180,1638,0
31,13760,2040,10000
32,2022,2767,0
33,1870,2116,0
34,2340,2217,5000
35,2451,3225,0
36,3266,3034,0
37,2650,2077,5000
38,2827,2075,0
39,3149,2236,5000
40,7019,2455,5000
41,1903,1860,5000
42,115,1423,5000
43,3962,1316,10000
44,5472,1595,10000
45,395,1288,10000
46,602,1315,0
47,860,1337,10000
48,577,1855,10000
49,5928,2799,5000
50,107,1396,5000
51,50,997,5000
52,50,545,0
53,5680,1129,10000
54,380,1882,0
55,47,683,5000
56,3542,1765,10000
57,294,2087,5000
58,222,862,5000
59,11629,2350,10000
60,2028,2011,5000
61,174,1142,5000
62,7145,1632,10000
63,6798,1025,10000
64,1024,1585,0
65,747,1265,0
66,11895,2386,10000
67,2766,2453,5000
68,5697,2837,5000
69,459,1024,0
70,626,2354,0
71,20,818,5000
72,445,821,0
73,741,1267,5000
74,717,1587,5000
75,333,1246,0
76,1084,2249,5000
77,1685,2230,10000
78,10238,1817,10000
79,1708,2294,0
80,2605,2025,10000
81,4113,3217,0
82,1943,1838,10000
83,844,1493,0
84,2244,2546,5000
85,2830,1285,0
86,3073,2594,5000
87,1972,992,5000
88,2469,2657,5000
89,2125,3349,0
90,3557,1880,10000
91,3261,3107,5000
92,1226,988,10000
93,1800,2197,0
94,2798,1825,10000
95,584,1214,5000
96,347,1551,10000
97,893,2435,5000
98,20,2275,0
99,972,1356,5000
100,123,986,5000
101,10380,1744,10000
102,9550,3354,10000
103,50,1940,0
104,50,914,0
105,50,630,0
106,206,1330,5000
107,9392,1625,10000
108,4693,1397,0
109,50,1000,0
110,50,465,0
111,82,1685,0
112,13655,1105,10000
113,1074,1630,5000
114,1335,1572,5000
115,965,2204,0
116,1306,1607,5000
117,1386,2442,10000
118,1876,2090,5000
119,1442,1749,0
120,1485,1586,5000
121,2524,3480,0
122,1715,2277,5000
123,742,1375,5000
124,9878,1815,10000
125,427,1529,5000
126,8142,723,10000
127,1686,1789,5000
128,2630,1735,0
129,6395,1946,10000
130,5960,4100,10000
131,1924,1761,10000
132,9323,2171,10000
133,2410,2184,0
134,1028,3118,0
135,903,1873,5000
136,3073,1611,0
137,1790,2005,0
138,5802,1737,10000
139,2537,1410,0
140,1001,1672,5000
141,837,1373,5000
142,6458,2475,10000
143,1831,1603,10000
144,417,1390,5000
145,1773,2364,10000
146,1600,2356,0
147,7292,1440,10000
148,12228,1706,10000
149,2158,2365,0
150,5022,1885,10000
151,2529,1789,5000
152,2410,1728,5000
153,10421,2126,10000
154,1217,1992,0
155,1148,1381,0
156,12986,2070,10000
157,697,3034,0
158,2266,2039,5000
159,3565,1968,0
160,3711,2331,5000
161,3438,1924,5000
162,3021,2180,0
163,4413,2937,5000
164,2260,2310,0
165,641,2182,5000
166,1669,2507,10000
167,3182,2919,5000
168,2266,2043,0
169,3037,2810,0
170,10462,2142,10000
171,5878,4045,5000
172,9039,1135,10000
173,5133,2949,5000
174,7456,1924,10000
175,5646,862,10000
176,4512,3290,0
177,210,3186,5000
178,3716,2565,5000
179,4578,4130,5000
180,1904,1173,5000
181,1098,2189,10000
182,3405,3487,5000
183,2712,2863,5000
184,5624,2587,10000
185,1493,1351,10000
186,731,1406,0
187,2591,1854,5000
188,2331,2461,5000
189,1829,2356,0
190,681,1711,5000
191,1959,1209,5000
192,7634,892,10000
193,20,2580,0
194,969,2354,0
195,2551,1770,5000
196,3474,2840,5000
197,2382,2176,5000
198,783,1224,0
199,2799,2137,5000
200,2154,2348,5000
201,1517,2112,5000
202,1619,1760,5000
203,2092,1505,0
204,2089,2940,0
205,1244,2475,5000
206,2085,2060,0
207,3350,2830,0
208,1729,1918,5000
209,5130,3154,10000
210,1685,2211,0
211,1283,1603,0
212,10305,1495,10000
213,2403,2509,5000
214,1809,2006,5000
215,2617,1686,5000
216,2813,1832,5000
217,4445,2091,10000
218,943,1237,0
219,847,1915,5000
220,2442,2043,0
221,9597,1655,10000
222,7494,1185,10000
223,1889,2865,0
224,3671,2555,5000
225,2238,2625,5000
226,3676,2392,5000
227,3224,1577,5000
228,2599,2936,5000
229,3215,1800,5000
230,2270,2784,5000
231,2694,2134,5000
232,1424,2744,5000
233,4296,2442,5000
234,2845,3430,5000
235,2535,2075,5000
236,7018,2469,10000
237,950,1238,10000
238,1150,2493,10000
239,2737,2733,10000
240,226,1488,5000
241,7521,1747,10000
242,1845,2716,5000
243,976,1713,0
244,1622,2061,10000
245,7997,1412,10000
246,1856,2228,5000
247,5580,2294,10000
248,973,1650,0
249,1664,1997,0
250,1578,2437,0
251,1468,1563,5000
252,1674,2059,0
253,1787,1302,5000
254,5230,1209,10000
255,2192,1990,5000
256,3480,1175,10000
257,984,1975,5000
258,6993,1259,10000
259,552,1480,5000
260,867,940,5000
261,1299,998,5000
262,368,1662,0
263,1216,1836,5000
264,1254,1197,5000
265,1499,1781,5000
266,10104,1725,10000
267,2395,705,10000
268,12524,1930,10000
269,2916,1745,5000
270,1235,1701,5000
271,8871,525,10000
272,1756,2601,0
273,1555,1502,0
274,1444,1109,10000
275,2916,1654,5000
276,2438,2204,0
277,1544,1699,5000
278,4640,1322,10000
279,4334,2124,10000
280,3492,2365,5000
281,1580,1901,0
282,5763,2626,10000
283,1554,1892,10000
284,8676,1779,10000
285,11300,2431,10000
286,739,1706,0
287,2555,2251,0
288,1891,2841,0
289,2227,1567,0
290,1835,1888,5000
291,1333,2073,5000
292,8720,1232,10000
293,1428,1763,0
294,781,1950,5000
295,3225,2240,0
296,2284,1988,0
297,1684,1726,5000
298,506,1204,0
299,2923,2218,0
300,3014,3030,10000
301,1541,1213,5000
302,1606,3183,0
303,1541,1431,5000
304,2077,2194,5000
305,3508,2553,0
306,5907,1755,10000
307,3338,2454,5000
308,1200,2648,0
309,2465,1757,5000
310,20,1586,5000
311,2326,1726,0
312,6695,2054,10000
313,633,1164,5000
314,731,2291,0
315,1889,2811,5000
316,1368,1600,5000
317,2328,1525,0
318,3015,1764,5000
319,2064,2805,0
320,2309,1700,5000
321,2308,1815,5000
322,746,2717,5000
323,1333,1482,0
324,2325,2236,5000
325,2420,1475,0
326,2527,2774,0
327,2017,1855,5000
328,1803,1962,5000
329,3070,3097,10000
330,1055,2152,5000
331,10378,2028,10000
332,368,1105,10000
333,12429,2480,10000
334,709,2020,0
335,511,1135,0
336,465,1142,0
337,1095,1671,10000
338,7285,1890,10000
339,733,1624,0
340,245,1211,10000
341,647,1922,0
342,884,1719,10000
343,6561,1668,10000
344,724,918,0
345,727,2220,5000
346,1181,2308,5000
347,880,968,0
348,11499,2365,10000
349,1360,1858,5000
350,367,1514,0
351,875,2095,0
352,941,1825,5000
353,2318,2468,10000
354,767,1372,0
355,1672,2146,5000
356,745,1489,10000
357,222,995,5000
358,138,433,5000
359,741,1351,5000
360,560,1357,5000
361,686,1945,0
362,391,1487,5000
363,42,837,10000
364,372,1795,5000
365,10822,930,10000
366,1726,1465,10000
367,2026,1214,0
368,1658,1092,10000
369,8666,2791,10000
370,2222,2785,0
371,223,2627,5000
372,1003,1649,5000
373,3598,2463,0
374,4395,3492,0
375,1274,2168,5000
376,6822,2440,10000
377,694,2081,5000
378,1203,1705,0
379,10720,1834,10000
380,5683,3067,5000
381,3853,2479,0
382,1489,2949,0
383,1551,1593,0
384,3399,1817,5000
385,5941,3527,10000
386,6139,1182,10000
387,1953,1227,10000
388,218,1386,0
389,414,2263,0
390,6005,1771,10000
391,119,1290,0
392,8305,1082,10000
393,10331,1215,10000
394,1249,2416,10000
395,953,2868,5000
396,2479,2131,0
397,9880,2334,10000
398,6029,2493,0
399,2464,2768,0
400,20,2796,0
401,7217,3042,0
402,3155,2129,5000
403,4435,1975,10000
404,2760,2117,10000
405,1577,1483,10000
406,2842,2249,5000
407,7719,4004,0
408,3924,2301,5000
409,419,3622,0
410,7765,1867,10000
411,5433,2687,5000
412,8498,1195,10000
413,3378,1865,0
414,3790,3345,5000
415,5642,3280,5000
416,1706,2231,10000
417,2920,1820,0
418,958,2135,5000
419,3287,1658,0
420,2064,1770,0
421,966,1993,0
422,1500,1950,5000
423,1322,2281,5000
424,12562,706,10000
425,5099,1070,10000
426,20,2457,0
427,2201,2908,0
428,1546,2252,5000
429,3186,2289,0
430,1262,2724,0
431,2705,2250,5000
432,3550,2097,5000
433,9150,1439,10000
434,5167,2754,5000
435,5149,2843,0
436,5556,2633,5000
437,5535,2587,10000
438,3070,2753,5000
439,3144,3347,0
440,1766,1953,0
441,1882,2704,5000
442,4504,2759,5000
443,50,2268,0
444,4439,2929,0
445,5815,3485,0
446,6018,3176,0
447,4193,3816,0
448,4941,2809,0
449,6718,3664,5000
450,2724,2419,5000
451,2804,1883,10000
452,465,2057,0
453,2733,2452,5000
454,11637,1402,10000
455,5149,2542,5000
456,1578,1591,5000
457,1614,2320,0
458,2123,1590,5000
459,1287,2752,5000
460,1491,1867,5000
461,1710,997,5000
462,13648,810,10000
463,4408,2289,0
464,762,3809,0
465,9936,1591,10000
466,1594,2468,5000
467,20,546,10000
468,50,639,0
469,11537,1766,10000
470,182,1675,5000
471,50,1146,10000
472,50,1255,0
473,14915,1962,10000
474,5462,1302,10000
475,2009,1647,0
476,686,1430,10000
477,2664,2115,0
478,1679,1936,0
479,2799,2714,0
480,3619,2487,0
481,1397,2080,0
482,2189,2004,5000
483,10363,3185,10000
484,2098,1567,10000
485,3508,4021,0
486,2535,1944,5000
487,7067,2478,5000
488,4599,3587,5000
489,2457,2172,5000
490,2880,1967,5000
491,2635,2095,5000
492,1276,1890,10000
493,1608,2052,5000
494,1871,1382,10000
495,11546,1438,10000
496,1568,1836,5000
497,2676,2108,10000
498,3787,2337,5000
499,2782,1855,5000
500,1163,1888,10000
501,1634,2097,5000
502,6447,1742,10000
503,3975,2638,5000
504,3169,3282,5000
505,2915,1719,5000
506,2230,3196,0
507,1221,1595,5000
508,4898,2289,0
509,6128,3676,5000
510,3056,3057,0
511,5357,2262,10000
512,635,1190,5000
513,968,417,0
514,1433,3005,5000
515,2621,1995,0
516,193,1191,10000
517,644,1408,5000
518,1516,1967,0
519,836,2054,0
520,879,2420,0
521,1743,965,10000
522,1475,1094,0
523,5618,2096,10000
524,959,2060,5000
525,2082,2202,5000
526,1118,1612,5000
527,1891,2255,0
528,1038,1316,5000
529,1285,1696,5000
530,1935,1674,0
531,1359,2060,5000
532,53,787,10000
533,692,1469,0
534,631,1922,0
535,20,2041,0
536,2315,2374,5000
537,536,1282,0
538,1076,1231,0
539,1933,2688,0
540,1499,1638,5000
541,50,1652,5000
542,1169,1275,5000
543,752,1759,5000
544,1339,2371,5000
545,1223,1207,5000
546,1261,759,5000
547,43,723,0
548,1821,1948,5000
549,1414,2817,0
550,619,1064,0
551,667,2408,0
552,963,1465,0
553,1025,1277,0
554,1086,1512,10000
555,1753,2171,10000
556,1758,1710,5000
557,1477,2143,0
558,1048,2125,10000
559,626,1809,0
560,50,1120,0
561,1028,1109,0
562,2032,2206,5000
563,1631,1975,5000
564,1982,1836,0
565,1178,1065,0
566,1522,2605,0
567,1162,1798,5000
568,1053,1434,0
569,841,2386,5000
570,230,997,0
571,1398,1879,10000
572,14272,2689,10000
573,16411,1325,10000
574,2715,1648,10000
575,5691,1274,10000
576,669,2256,0
577,1287,1736,0
578,1456,1899,5000
579,1816,2292,0
580,953,2070,5000
581,4259,2865,10000
582,2093,2174,5000
583,1478,1422,5000
584,2137,1499,10000
585,7167,2075,10000
586,757,2761,0
587,3685,2734,5000
588,5911,2145,10000
589,3461,1754,5000
590,2334,2491,5000
591,3600,2128,5000
592,1909,1647,10000
593,2051,684,0
594,4497,2562,5000
595,5120,3980,5000
596,1335,1724,0
597,1543,3336,5000
598,1227,2483,0
599,6652,1386,10000
600,523,2644,5000
601,1793,1216,5000
602,2424,2525,5000
603,6050,2358,0
604,3828,3590,5000
605,2866,1779,0
606,6137,1758,10000
607,1402,2320,0
608,437,1457,0
609,1494,1640,0
610,1683,1718,0
611,2063,2730,5000
612,933,2067,5000
613,1271,1518,0
614,852,1605,5000
615,8863,2750,10000
616,796,1719,5000
617,544,1713,5000
618,1682,2395,5000
619,640,1728,0
620,1391,1502,10000
621,1189,2382,0
622,710,1608,0
623,1689,1827,10000
624,676,1298,0
625,4463,3138,10000
626,10612,1534,10000
627,6021,2205,10000
628,2092,1693,5000
629,1431,1995,5000
630,1461,1613,0
631,2354,2728,0
632,726,2420,0
633,1201,1681,5000
634,4374,1625,10000
635,1972,1864,5000
636,4727,738,10000
637,6444,1679,10000
638,1839,1397,0
639,1420,1940,5000
640,1486,1944,5000
641,1637,2512,0
642,1709,1616,5000
643,1470,2888,0
644,1424,1606,5000
645,1771,2325,5000
646,2766,1170,10000
647,1518,3095,5000
648,2184,2566,0
649,10972,2911,10000
650,2396,2724,5000
651,2436,2524,5000
652,2184,1848,5000
653,1760,1957,5000
654,1753,1603,0
655,1470,1943,5000
656,6126,1693,10000
657,3719,2522,5000
658,1754,1776,5000
659,1486,2740,5000
660,10065,845,10000
661,2729,1812,5000
662,2230,1782,5000
663,1143,2590,5000
664,2207,1924,5000
665,971,2179,5000
666,7009,1180,10000
667,1230,2977,5000
668,4809,2357,5000
669,6016,1919,10000
670,6226,1927,10000
671,5757,1132,10000
672,1099,1117,10000
673,93,699,0
674,6350,1384,10000
675,1152,2062,0
676,2273,2605,0
677,1315,2935,5000
678,1196,1720,0
679,965,1995,0
680,760,1101,0
681,2051,1891,5000
682,158,1217,0
683,258,493,0
684,1942,2460,5000
685,1307,2068,5000
