Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,13624,2259,0
1,2799,1527,0
2,11103,1494,0
3,5430,677,5000
4,419,1565,0
5,1150,1495,0
6,1274,1750,10000
7,1089,676,0
8,9586,1148,0
9,3377,1018,0
10,578,845,0
11,3006,1385,0
12,13387,930,10000
13,1703,1079,5000
14,310,1247,0
15,194,296,5000
16,4783,235,10000
17,4908,1418,0
18,89,684,5000
19,50,902,0
20,50,632,0
21,11628,1662,0
22,1146,1027,0
23,265,1683,0
24,50,697,5000
25,50,903,0
26,1482,595,0
27,2878,1361,0
28,14497,1255,0
29,3943,1773,0
30,3315,1070,0
31,13124,2629,0
32,1804,1452,0
33,2536,1962,0
34,5550,1871,0
35,5757,1540,0
36,10313,1218,10000
37,6031,1321,0
38,6570,1568,5000
39,6882,1668,0
40,7116,1857,10000
41,172,723,0
42,1390,1222,5000
43,20,1069,0
44,7346,920,10000
45,1712,877,5000
46,305,824,0
47,5205,1315,0
48,4418,1131,10000
49,2985,1926,0
50,50,870,0
51,475,476,10000
52,50,617,0
53,5590,816,10000
54,7740,2155,0
55,52,518,0
56,4469,1116,5000
57,50,597,5000
58,1864,772,0
59,6460,1508,0
60,1029,1437,0
61,110,900,5000
62,628,1295,0
63,3700,1384,0
64,4911,2075,0
65,3142,1438,0
66,12533,1834,10000
67,5555,1163,0
68,18080,1780,10000
69,4844,701,0
70,3800,1187,0
71,20,539,0
72,665,400,0
73,1088,1300,5000
74,4250,1694,0
75,3641,802,0
76,4380,1193,0
77,2602,1208,0
78,2446,1492,0
79,105,1050,0
80,50,1397,0
81,6578,2068,0
82,167,768,0
83,1261,525,0
84,5440,1571,5000
85,6908,1472,0
86,9890,1438,10000
87,1368,901,0
88,6916,2454,10000
89,7465,649,0
90,5517,1560,0
91,1127,1139,0
92,168,509,0
93,5314,1465,10000
94,5862,1495,0
95,202,930,0
96,106,1252,0
97,414,938,0
98,20,859,0
99,50,667,5000
100,123,1112,0
101,839,1198,0
102,17760,830,5000
103,8138,1460,10000
104,579,1995,0
105,472,1437,0
106,111,571,5000
107,4061,1346,0
108,50,1303,5000
109,50,800,0
110,118,540,0
111,50,485,0
112,2148,1583,0
113,113,652,0
114,1621,1488,0
115,50,854,0
116,50,758,0
117,275,1311,0
118,11411,795,10000
119,168,860,0
120,50,1097,0
121,50,1030,0
122,4323,1424,10000
123,50,1025,0
124,2785,1836,0
125,8809,930,0
126,114,901,0
127,15989,1636,0
128,6403,1338,5000
129,121,1355,0
130,4870,1215,10000
131,184,885,0
132,14553,606,10000
133,1073,896,0
134,111,438,0
135,2153,924,0
136,6676,1482,0
137,7144,1260,0
138,8473,925,10000
139,2987,1211,5000
140,9204,985,0
141,200,481,5000
142,5325,1492,0
143,1492,1093,0
144,5362,841,0
145,108,661,0
146,409,1672,0
147,12589,990,0
148,428,1337,0
149,131,1310,0
150,108,803,0
151,6368,1075,0
152,6612,1289,10000
153,13271,1271,10000
154,1292,1326,0
155,1151,798,0
156,3742,1379,0
157,214,886,0
158,549,1608,0
159,10585,1036,0
160,12757,2084,0
161,1427,1362,0
162,50,633,0
163,175,880,0
164,6777,1030,0
165,1266,1034,5000
166,113,593,0
167,2201,1793,0
168,4517,1518,0
169,7013,1311,0
170,428,1111,0
171,3283,2346,0
172,8215,1900,0
173,298,1085,0
174,6984,1729,0
175,132,861,0
176,8400,1170,5000
177,160,930,5000
178,706,1408,10000
179,105,1236,0
180,299,1206,0
181,360,971,0
182,217,1488,0
183,6609,990,10000
184,8027,1034,10000
185,4114,988,5000
186,92,592,0
187,408,1239,0
188,6142,1300,0
189,20,975,0
190,723,1029,0
191,2891,1276,0
192,4961,706,5000
193,20,1318,0
194,184,821,0
195,2027,1543,0
196,13717,1660,0
197,166,1289,0
198,4771,1020,10000
199,3856,1891,0
200,169,929,0
201,7887,1695,0
202,4283,1033,0
203,438,899,5000
204,253,837,0
205,3104,1479,5000
206,50,1092,0
207,115,1425,0
208,7362,649,5000
209,4379,2382,0
210,7349,1372,0
211,50,570,0
212,50,1327,0
213,15829,1223,0
214,9090,1206,0
215,50,722,0
216,50,1109,0
217,1051,989,0
218,5751,898,0
219,5883,1342,0
220,50,964,0
221,12473,1171,10000
222,50,363,0
223,50,1321,0
224,50,940,0
225,5009,661,10000
226,12403,1052,10000
227,10827,1170,10000
228,50,910,0
229,7523,1214,0
230,10845,1055,0
231,8831,1424,10000
232,13075,856,5000
233,3084,1531,5000
234,50,998,0
235,13136,1075,0
236,9275,592,5000
237,50,559,0
238,117,677,5000
239,50,851,0
240,11663,1327,0
241,50,1148,0
242,11561,1937,0
243,50,766,0
244,793,1146,0
245,2236,875,0
246,169,724,0
247,50,925,0
248,50,802,0
249,215,1360,0
250,50,764,0
251,3984,964,0
252,5499,1673,0
253,50,710,0
254,5115,859,0
255,16373,1155,0
256,3901,735,0
257,10342,1616,0
258,1933,1457,0
259,4087,940,0
260,50,572,0
261,107,466,0
262,50,694,0
263,182,1352,0
264,50,570,0
265,50,808,5000
266,9514,1141,10000
267,1516,789,0
268,50,1120,0
269,50,741,10000
270,50,672,0
271,206,961,0
272,50,399,0
273,50,677,0
274,972,1047,0
275,13867,1142,5000
276,128,1295,0
277,4056,1131,5000
