Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,15592,910,5000
1,10623,1020,5000
2,10616,975,5000
3,2750,2518,0
4,3536,1957,0
5,10963,620,5000
6,7451,1741,5000
7,3166,453,5000
8,9563,1164,5000
9,7766,352,5000
10,704,785,0
11,919,1031,0
12,13284,710,5000
13,2277,1087,0
14,7768,899,5000
15,302,1185,0
16,1669,815,0
17,5400,1445,5000
18,2062,1671,0
19,799,1872,0
20,4486,2157,0
21,5442,2432,0
22,10324,953,5000
23,6451,1872,5000
24,370,1414,0
25,50,781,0
26,1926,792,5000
27,4933,589,5000
28,7313,2200,5000
29,6085,2070,0
30,5766,831,5000
31,13017,1512,5000
32,2184,645,5000
33,1667,1192,0
34,1330,1712,0
35,7865,1560,5000
36,15054,980,5000
37,1709,1375,0
38,1090,1053,0
39,1360,1270,0
40,5490,2015,5000
41,7542,430,5000
42,246,663,0
43,684,1163,0
44,252,940,5000
45,275,588,5000
46,1570,1240,5000
47,8606,235,5000
48,3535,2198,0
49,14890,736,5000
50,12159,216,5000
51,419,1445,0
52,569,959,0
53,727,1741,0
54,13724,1652,5000
55,487,1452,0
56,2588,1583,0
57,1164,1114,0
58,942,872,0
59,12521,882,5000
60,13171,1269,5000
61,529,1038,0
62,10975,770,5000
63,15079,520,5000
64,3377,2037,0
65,3095,1185,0
66,5987,2209,5000
67,610,1391,0
68,2614,1935,0
69,1396,937,0
70,1752,1307,0
71,20,1143,0
72,605,585,0
73,979,1181,0
74,1890,1567,0
75,994,1187,0
76,1413,1068,0
77,11601,1305,5000
78,2165,1894,0
79,6028,1051,5000
80,1648,1465,0
81,11640,470,5000
82,2186,469,5000
83,2815,240,5000
84,2074,1760,0
85,6419,1093,5000
86,6368,2523,0
87,5235,572,5000
88,6548,2206,0
89,8276,1444,5000
90,2991,1527,0
91,2352,1273,5000
92,664,1155,5000
93,3134,2045,0
94,2663,1968,0
95,5532,425,5000
96,3310,1893,0
97,2969,1774,0
98,20,2073,0
99,14805,100,5000
100,3431,2337,0
101,8235,854,5000
102,1733,2150,0
103,2634,1445,0
104,1946,1878,0
105,5117,1066,5000
106,4616,460,5000
107,10037,902,5000
108,4574,1953,0
109,8438,794,5000
110,2763,1374,5000
111,82,2600,0
112,13007,892,5000
113,9854,469,5000
114,3257,1297,0
115,2252,2004,0
116,3487,2289,5000
117,3188,1984,0
118,10553,1671,5000
119,6333,980,5000
120,897,815,5000
121,8625,1190,5000
122,4675,2058,0
123,1841,1654,0
124,9566,1978,5000
125,9366,442,5000
126,880,1357,0
127,1351,1612,0
128,5670,1314,5000
129,1576,1595,5000
130,1220,1561,0
131,1575,1485,0
132,10457,575,5000
133,2169,1447,0
134,477,1620,0
135,5631,182,5000
136,3032,1649,5000
137,5620,1265,5000
138,1670,1361,0
139,1745,1164,0
140,1089,1447,0
141,453,979,0
142,1532,1426,0
143,1425,967,0
144,522,976,0
145,1143,1500,0
146,1586,1288,0
147,6436,1855,5000
148,12897,1370,5000
149,601,1141,0
150,12069,1265,5000
151,2358,1716,0
152,5469,1024,5000
153,13105,1332,5000
154,12560,1113,5000
155,1790,2139,0
156,7319,2536,0
157,3160,1165,5000
158,4715,1554,0
159,5639,1278,5000
160,14774,1934,5000
161,3370,1147,5000
162,8211,347,5000
163,4355,1678,0
164,3028,1642,0
165,803,2327,0
166,8660,1336,5000
167,4278,1955,0
168,2184,1560,0
169,3943,2201,5000
170,9605,2112,5000
171,9442,2611,5000
172,9134,645,5000
173,2446,1666,0
174,8309,293,5000
175,938,1362,0
176,1742,2093,0
177,260,1515,0
178,1459,1046,0
179,1263,1516,0
180,1399,869,0
181,969,1312,5000
182,6715,1474,5000
183,1160,1760,0
184,9505,1685,5000
185,705,937,0
186,7702,901,5000
187,8962,820,5000
188,2390,1650,5000
189,1033,1823,0
190,851,1670,0
191,8314,100,5000
192,2658,1673,0
193,20,2294,0
194,1530,1924,0
195,9307,1220,5000
196,3702,1986,0
197,7752,935,5000
198,1232,1288,0
199,7007,1671,5000
200,1741,1548,0
201,8879,127,5000
202,1758,1756,0
203,2073,1457,0
204,2445,1851,5000
205,2718,1590,0
206,2542,1985,0
207,17493,2090,5000
208,4626,3270,0
209,7868,2669,5000
210,2831,1220,0
211,625,1346,0
212,3324,1775,0
213,15361,1340,5000
214,3877,1840,0
215,2322,1282,0
216,2794,1370,0
217,1196,1604,0
218,1356,1000,0
219,10886,1071,5000
220,3906,1900,0
221,2363,1790,0
222,1104,1375,0
223,5202,1037,5000
224,12252,580,5000
225,5773,320,5000
226,3641,1907,0
227,12117,765,5000
228,10096,365,5000
229,12834,590,5000
230,12636,655,5000
231,9489,1485,5000
232,2711,1801,0
233,2587,1735,0
234,2056,1836,0
235,13336,560,5000
236,8829,645,5000
237,950,2235,0
238,2894,2587,0
239,2937,1398,0
240,4468,2280,0
241,3723,2435,0
242,7968,1860,5000
243,10718,166,5000
244,2859,1150,0
245,4496,1909,0
246,5522,820,5000
247,5218,415,5000
248,1979,1575,0
249,2795,1728,0
250,4088,1925,0
251,2272,1012,5000
252,9411,1749,5000
253,2453,1310,0
254,4932,1048,5000
255,16379,565,5000
256,3866,1866,5000
257,3123,1987,0
258,4206,1561,0
259,1705,1797,5000
260,1052,523,5000
261,3137,1437,0
262,3511,2128,0
263,4259,2024,0
264,743,1542,0
265,8978,1156,5000
266,10781,1205,5000
267,1689,1761,0
268,4191,2756,0
269,5149,1697,0
270,2030,1587,0
271,7095,1115,5000
272,9142,1250,5000
273,1787,1496,0
274,1682,594,5000
275,3784,1487,0
276,2940,1505,0
277,2274,1426,5000
278,4129,1856,5000
279,5932,823,5000
280,3942,2085,0
281,2109,812,0
282,5856,1239,5000
283,3936,1756,0
284,1606,1821,0
285,3384,1936,0
286,739,1252,0
287,3252,1811,0
288,2705,2191,0
289,4067,871,5000
290,1516,1325,5000
291,4187,824,5000
292,3790,1948,5000
293,3888,1379,5000
294,2647,1989,0
295,4200,1788,0
296,8690,815,5000
297,3021,1597,0
298,877,990,0
299,3189,1622,0
300,2264,2038,0
301,1138,965,5000
302,7854,341,5000
303,3739,825,5000
304,6298,2332,5000
305,3707,2037,0
306,2650,1373,0
307,4461,1471,0
308,1916,1916,0
309,2660,1555,0
310,20,235,5000
311,13186,210,5000
312,2224,2095,0
313,5972,1937,5000
314,484,1904,0
315,8397,665,5000
316,741,1898,0
317,2598,1638,0
318,4101,1502,0
319,6034,1785,5000
320,2103,2243,0
321,3498,1973,0
322,3300,2416,0
