Iteration,BurnCost,MoveCost,AgentDeathPenalty
0,14876,1235,5000
1,3034,1720,5000
2,5431,1828,0
3,2579,2317,0
4,6062,1670,5000
5,8297,1634,5000
6,8742,1225,5000
7,5081,407,5000
8,3036,2388,0
9,7833,425,5000
10,2280,1231,0
11,8340,325,5000
12,11923,2000,5000
13,5331,451,5000
14,8401,879,5000
15,302,1531,5000
16,50,563,0
17,20,345,0
18,9115,323,5000
19,78,605,5000
20,3029,1395,5000
21,5594,2268,0
22,10231,943,5000
23,14208,502,5000
24,864,1234,0
25,50,1528,0
26,2352,1160,0
27,2531,1463,0
28,10368,1711,5000
29,9141,750,5000
30,8225,1020,5000
31,6451,2806,0
32,3133,1514,0
33,1888,2266,0
34,5247,1826,5000
35,4818,1996,0
36,14754,1191,5000
37,3963,1672,0
38,3738,2194,0
39,2674,2755,0
40,8546,1206,5000
41,940,869,0
42,2031,1435,0
43,1319,1330,5000
44,1835,1535,0
45,825,1047,0
46,1683,1243,5000
47,1699,1027,5000
48,1384,1625,0
49,14574,786,5000
50,2580,1739,0
51,475,1643,0
52,1221,1852,0
53,3863,1807,5000
54,3275,2499,0
55,1518,2062,0
56,5043,1217,5000
57,1416,1417,0
58,1119,723,5000
59,12061,1122,5000
60,3703,2058,0
61,904,1229,0
62,10554,1160,5000
63,6825,1025,5000
64,11458,215,5000
65,2655,1713,0
66,8365,2438,0
67,674,1164,0
68,16161,1580,5000
69,1178,807,0
70,1482,1490,0
71,20,668,0
72,501,655,0
73,1679,1386,0
74,2942,2247,0
75,765,1247,0
76,1493,1408,0
77,2660,1602,0
78,1750,1764,0
79,4236,1090,5000
80,1315,1858,0
81,10583,1129,5000
82,755,1272,0
83,595,838,5000
84,1287,1211,0
85,2326,1318,0
86,10722,280,5000
87,5885,50,5000
88,4708,1685,5000
89,7326,1637,5000
90,4801,2072,0
91,4617,2430,0
92,1715,2326,0
93,2155,1811,0
94,4471,2339,0
95,4208,1415,0
96,6179,2112,0
97,5148,2467,5000
98,20,1990,0
99,3000,1884,0
100,1933,1906,0
101,6857,1410,5000
102,2873,2122,0
103,4526,1965,0
104,11737,932,5000
105,4003,1933,5000
106,206,628,0
107,10200,1069,5000
108,5016,1820,0
109,9040,175,5000
110,609,876,5000
111,82,1715,0
112,6519,1491,5000
113,2913,2103,0
114,9989,1100,5000
115,6775,712,5000
116,8586,831,5000
117,7192,1030,5000
118,11269,785,5000
119,2101,617,5000
120,145,356,5000
121,8550,915,5000
122,7881,1387,5000
123,6659,605,5000
124,11949,844,5000
125,2086,1574,0
126,1984,1692,0
127,16242,827,5000
128,8525,2172,5000
129,13346,1096,5000
130,683,1005,5000
131,802,1254,0
132,14091,738,5000
133,4940,1028,5000
134,7658,1033,5000
135,1940,1566,0
